"Reference","ID","CommonControl","Mainland","Island","Class","Order","Family","Binomial","Species_main","Species_island","Sex","Measure","Mean_m","Mean_i","sd_m","sd_i","N_m","N_i","RR","var","Long_i","Lat_i","logmass","Island_km2","Dist_near_mainland","NDVI","SDNDVI","tmean","tseas","prec","Phylogeny","Data_source_type","SPID"
"Pabijan et al. 2011","ES109","CC46","Madagascar","Nosy Be","Amphibians","Anura","Mantellidae","Blommersia wittei","Blommersia wittei","Blommersia wittei","Male","SVL",0.948658424980459,1.19534604739483,0.0491286237468601,0.0367568909573909,9,5,0.231142199563894,0.000487106109802996,48.26,-13.326,-0.0228901319872677,2.50517712087683,1.07994059715236,0.71289697265625,-1.828679778872,25.7866973876953,2.134027409339,3.3305050774476,"","No island rule","SP36"
"Pafilis et al. 2019, Baskale et al. 2018","ES110","CC47","Turkey","Karpathos","Amphibians","Anura","Ranidae","Pelophylax bedriagae","Pelophylax bedriagae","Pelophylax cerigensis","Both","Weight",38.6666459627329,9.416,18.6039245504846,5.268,161,76,-1.41256699703357,0.00555639561748088,27.146,35.542,1.58733650196571,2.51067903103221,1.97405551311323,0.398436254882813,-1.97340226759278,17.7849597930908,2.73649862822453,2.82795696499388,"Phylogeny in Toli, E. A., Siarabi, S., Bounas, A., Pafilis, P., Lymperakis, P., & Sotiropoulos, K. (2018). New insights on the phylogenetic position and population genetic structure of the Critically Endangered Karpathos marsh frog Pelophylax cerigensis (Amphibia: Anura: Ranidae). Acta Herpetologica, 13(2), 117-123.","No island rule","SP37"
"Salvidio et al. 1993, Hemelaar 1988","ES111","CC48","Norway","Hitra","Amphibians","Anura","Bufonidae","Bufo bufo","Bufo bufo","Bufo bufo","Both","SVL",37.5831516388914,36.9850236290166,3.42898948976038,3.43496544774575,1012,29,-0.016042791340374,0.000305662527639657,8.7022,63.5344,1.57499319625381,2.83276430494053,0.544192110765033,0.51282275390625,-1.25527041633848,6.26099348068237,2.6998234932083,3.10329047155775,"","No island rule","SP38"
"Siler et al. 2009","ES112","CC49","Luzon","Visayas","Amphibians","Anura","Dicroglossidae","Limnonectes woodworthi","Limnonectes woodworthi","Limnonectes visayanus","Both","SVL",25.6557243897827,60.0216080852999,1.55640282069951,4.53255554795849,13,20,0.849937912335832,0.000568223694850292,123.373,10.816,1.40918428147606,4.12801133257597,2.76342874234588,0.662301611328125,-1.56105699266669,26.6705360412598,1.95318313810441,3.29133537632826,"Phylogeny: McLeod, D. S. (2010). Of least concern? Systematics of a cryptic species complex: Limnonectes kuhlii (Amphibia: Anura: Dicroglossidae). Molecular Phylogenetics and Evolution, 56(3), 991-1000.","No island rule","SP39"
"Siqueira et al. 2006","ES113","CC50","Rio de Janeiro","Grande","Amphibians","Anura","Cycloramphidae","Thoropa miliaris","Thoropa miliaris","Thoropa miliaris","Both","Weight",11.77209302,12,4.003,9.9,43,33,0.0191749176471096,0.0233140281855491,-44.247,-23.141,1.07085368512254,2.27875360095283,0.491501766237326,0.83447255859375,-2.12152756650398,21.5135288238525,2.33314227275695,3.22514121229475,"","No island rule","SP7"
"Valenzuela-Sanchez et al. 2015","ES114","CC51","Chile","Chiloe","Amphibians","Anura","Rhinodermatidae","Rhinoderma darwinii","Rhinoderma darwinii","Rhinoderma darwinii","Both","SVL",1.35045659773991,1.51623052380593,0.134688224197111,0.172978577044918,706,305,0.115784580403402,5.67625391462023e-05,-73.75,-43.3333,0.13048063097815,3.92396896487547,0.361916618668643,0.7480259765625,-1.70512895360066,9.53515815734863,2.44783925331894,3.38479738837593,"","No island rule","SP40"
"Vences et al. 2010","ES115","CC52","Madagascar","Nosy Boraha (Sainte Marie)","Amphibians","Anura","Mantellidae","Blommersia dejongi","Blommersia dejongi","Blommersia dejongi","Both","SVL",0.727585690826506,0.769035709596327,0.0596740836900758,0.0622276265678034,5,5,0.0554056246468063,0.0026548374236295,49.8976,-16.9157,-0.138115850642359,2.34635297445064,0.793161529245551,0.742845703125,-1.92059620546142,24.2787647247314,2.29203151328862,3.5066403055665,"","No island rule","SP41"
"Vences et al. 2010","ES116","CC53","Madagascar","Nosy Boraha (Sainte Marie)","Amphibians","Anura","Mantellidae","Blommersia galani","Blommersia galani","Blommersia galani","Both","SVL",0.718360861739695,1.03365795059678,0.0496937855284656,0.0418992412033166,10,13,0.363887162467592,0.000604931394489781,49.8976,-16.9157,-0.143657337244857,2.34635297445064,0.793161529245551,0.742845703125,-1.92059620546142,24.2787647247314,2.29203151328862,3.5066403055665,"","No island rule","SP42"
"Castellano and Giacoma 1998","ES117","CC54","Italy","Corsica","Amphibians","Anura","Bufonidae","Bufotes viridis","Bufo viridis","Bufo viridis","Male","SVL",30.7684290910015,47.1265830784491,2.66717638959475,2.70120377549095,118,18,0.426348103616009,0.000246201065881339,9.12,42.1,1.4881053235297,3.93856975622106,1.90417978339357,0.627191943359375,-1.92281432857012,12.0827579498291,2.78330610180206,2.90464717566751,"","Island rule","SP9"
"Castellano and Giacoma 1998","ES118","CC54","Italy","Pellestrina","Amphibians","Anura","Bufonidae","Bufotes viridis","Bufo viridis","Bufo viridis","Male","SVL",30.7684290910015,33.7955161784047,2.66717638959475,2.28232082961884,118,10,0.0938390014809793,0.000519755039165632,12.301,45.273,1.4881053235297,0.477121254719662,0.740441644949766,0.243538330078125,-1.63648261303038,13.8071269989014,2.85138101134272,2.86451108105839,"","Island rule","SP9"
"Castellano and Giacoma 1998","ES119","CC54","Italy","Sardinia","Amphibians","Anura","Bufonidae","Bufotes viridis","Bufo viridis","Bufo viridis","Male","SVL",30.7684290910015,63.3360391683056,2.66717638959475,4.67296851674142,118,38,0.721965371525265,0.000206933013011013,9.034,40.029,1.4881053235297,4.37717871299024,2.33041580275792,0.58357021484375,-1.73602243300022,14.6707763671875,2.7816091878622,2.79781594063974,"","Island rule","SP9"
"Cordero-Rivera et al 2007","ES120","CC55","Spain (Galicia)","Ons ","Amphibians","Caudata","Salamandridae","Lissotriton boscai","Lissotriton boscai","Lissotriton boscai","Both","SVL",1.39288395105589,1.28469659256204,0.115614128111415,0.103834718024704,24,108,-0.0808538069511468,0.000347552058394547,-8.938,42.377,0.143914934431481,3.64914006414422,0.544192110765033,0.629724462890625,-1.95931358360986,13.9685983657837,2.57634078771776,3.20789449746847,"","Island rule","SP43"
"Cordero-Rivera et al 2007","ES121","CC55","Spain (Galicia)","Sálvora ","Amphibians","Caudata","Salamandridae","Lissotriton boscai","Lissotriton boscai","Lissotriton boscai","Both","SVL",1.39288395105589,1.19849060433217,0.115614128111415,0.107243218625171,24,7,-0.150313447342164,0.00143092398464322,-9.011,42.473,0.143914934431481,0.278753600952829,0.602168551378997,0.4625224609375,-1.40743204736586,14.7583332061768,2.47947067439774,3.1044871113124,"","Island rule","SP43"
"Cordero-Rivera et al 2007","ES122","CC56","Spain (Galicia)","Ons ","Amphibians","Caudata","Salamandridae","Salamandra salamandra","Salamandra salamandra","Salamandra salamandra","Both","Weight",27.058857142,25.1101801801802,8.30862923576407,8.6264212509855,105,111,-0.0747410388523354,0.00196120477226745,-8.938,42.377,1.43230944978546,3.64914006414422,0.544192110765033,0.629724462890625,-1.95931358360986,13.9685983657837,2.57634078771776,3.20789449746847,"","Island rule","SP11"
"Cordero-Rivera et al 2007","ES123","CC56","Spain (Galicia)","San Martiño","Amphibians","Caudata","Salamandridae","Salamandra salamandra","Salamandra salamandra","Salamandra salamandra","Both","Weight",27.026519915283,11.447,8.30135844835328,3.12474857935266,106,20,-0.859090916091015,0.00461582199538265,-8.904,42.1969,1.43179012713077,0.176091259055681,0.778223626766096,0.565661279296875,-1.77787888123048,14.2124996185303,2.52097877157485,3.18587066491676,"","Island rule","SP11"
"Glaw et al. 2019, Mori et al. 2015","ES124","CC57","Madagascar","Mayotte","Amphibians","Anura","Mantellidae","Boophis doulioti","Boophis doulioti","Boophis nauticus","Male","SVL",7.36719165482319,7.39489987143825,1.13466899974638,0.817788926959054,8,8,0.00375397335874436,0.00449385462171988,45.152,-12.801,0.867301968015529,2.57403126772772,2.47712270236552,0.721075146484375,-1.78140009051222,25.0633850097656,2.10900254419108,3.14802547558644,"Phylogeny: Glaw, F., Hawlitschek, O., Glaw, K. & Vences, M. Integrative evidence confirms new endemic island frogs and transmarine dispersal of amphibians between Madagascar and Mayotte (Comoros archipelago). Science of Nature 106, doi:10.1007/s00114-019-1618-9 (2019).","Island rule","SP44"
"Glaw et al. 2019, Tessa et al. 2017","ES125","CC58","Madagascar","Mayotte","Amphibians","Anura","Mantellidae","Boophis tephraeomystax","Boophis tephraeomystax","Boophis nauticus","Both","SVL",6.6199646732914,9.84547502520334,0.946757713901271,1.67400290536343,8,11,0.396921927754771,0.00518480719202659,45.152,-12.801,0.820855671881461,2.57403126772772,2.47712270236552,0.721075146484375,-1.78140009051222,25.0633850097656,2.10900254419108,3.14802547558644,"Phylogeny: Glaw, F., Hawlitschek, O., Glaw, K. & Vences, M. Integrative evidence confirms new endemic island frogs and transmarine dispersal of amphibians between Madagascar and Mayotte (Comoros archipelago). Science of Nature 106, doi:10.1007/s00114-019-1618-9 (2019).","Island rule","SP21"
"Glaw et al. 2019, Vences et al. 2010","ES126","CC59","Madagascar","Mayotte","Amphibians","Anura","Mantellidae","Blommersia wittei","Blommersia wittei","Blommersia transmarina","Both","SVL",1.08916157244417,2.06390688807816,0.0857103664922207,0.236959595965939,8,12,0.639192533573737,0.0018725584940383,45.152,-12.801,0.037092310257119,2.57403126772772,2.47712270236552,0.721075146484375,-1.78140009051222,25.0633850097656,2.10900254419108,3.14802547558644,"Phylogeny: Glaw, F., Hawlitschek, O., Glaw, K. & Vences, M. Integrative evidence confirms new endemic island frogs and transmarine dispersal of amphibians between Madagascar and Mayotte (Comoros archipelago). Science of Nature 106, doi:10.1007/s00114-019-1618-9 (2019).","Island rule","SP36"
"Rog et al. 2013","ES127","CC60","Panama","Cebaco","Amphibians","Anura","Leiuperidae","Engystomops pustulosus","Engystomops pustulosus","Engystomops pustulosus","Male","SVL",1.63248180998665,3.13289899339684,0.0664367786183351,0.121201291680725,48,7,0.651857332192069,0.000248312636204292,-81.139,7.558,0.212848350825252,1.90308998699194,0.81298016603948,0.747388232421875,-1.86061669442809,26.0541591644287,1.79926654379372,3.4628620103788,"","Island rule","SP1"
"Rog et al. 2013","ES128","CC60","Panama","Isla del Rey","Amphibians","Anura","Leiuperidae","Engystomops pustulosus","Engystomops pustulosus","Engystomops pustulosus","Male","SVL",1.63248180998665,2.42850419371132,0.0664367786183351,0.102652792868227,48,3,0.397174069996678,0.000630088153153667,-79.9088,8.387,0.212848350825252,2.36921585741014,1.5465550012143,0.625681494140625,-1.65931850456015,26.794864654541,1.75770345829251,3.32807649389725,"","Island rule","SP1"
"Rog et al. 2013","ES129","CC60","Panama","Isla Grande","Amphibians","Anura","Leiuperidae","Engystomops pustulosus","Engystomops pustulosus","Engystomops pustulosus","Male","SVL",1.63248180998665,3.42652763045195,0.0664367786183351,0.185739121653081,48,10,0.741445956086309,0.000328336238225793,-79.564,9.633,0.212848350825252,1.42488163663107,-0.258848401148215,0.62112607421875,-1.651040349464,26.5128993988037,1.89940918689388,3.35858197814465,"","Island rule","SP1"
"Rog et al. 2013","ES130","CC60","Panama","Pedro Gonzalez","Amphibians","Anura","Leiuperidae","Engystomops pustulosus","Engystomops pustulosus","Engystomops pustulosus","Male","SVL",1.63248180998665,3.47189271055393,0.0664367786183351,0.0977502078428498,48,7,0.754598455303902,0.00014774604856906,-79.1029,9.398,0.212848350825252,1.77597433112937,1.71181566186188,0.765176171875,-1.52171020121719,25.4382381439209,1.80725709836507,3.45150088782363,"","Island rule","SP1"
"Rog et al. 2013","ES131","CC60","Panama","Taboga","Amphibians","Anura","Leiuperidae","Engystomops pustulosus","Engystomops pustulosus","Engystomops pustulosus","Male","SVL",1.63248180998665,3.20016656597886,0.0664367786183351,0.148537547978764,48,10,0.673101420640833,0.000249945267234331,-79.5616,8.792,0.212848350825252,1.08278537031645,0.973174052682972,0.68233056640625,-1.45322335275867,27.1535415649414,1.69684396532959,3.33092083059524,"","Island rule","SP1"
"Rog et al. 2013","ES132","CC60","Panama","Coiba","Amphibians","Anura","Leptodactylidae","Engystomops pustulosus","Engystomops pustulosus","Engystomops pustulosus","Male","SVL",1.63248180998665,3.86787069727982,0.0664367786183351,0.0865375291514572,48,23,0.862602708522217,5.6268701040395e-05,-81.777,7.486,0.212848350825252,2.70156798505593,1.35220181965942,0.75677451171875,-1.38593273169804,25.4241352081299,1.80482134867223,3.42480816751817,"","Island rule","SP1"
"Shaidani 2017","ES133","CC61","Maine (USA)","Appledore","Amphibians","Caudata","Plethodontidae","Plethodon cinereus","Plethodon cinereus","Plethodon cinereus","Both","Weight",0.780204762,0.4965,0.1,0.0522911357950787,210,34,-0.451972917131891,0.000404469372488551,-70.614,42.988,-0.107791403288504,-0.397940008672038,1.00004342727686,0.4723720703125,-1.49056299711649,9.15416622161865,2.87383380068253,3.08457627793433,"","Island rule","SP45"
"Shaidani 2017","ES134","CC61","Maine (USA)","Baker Island","Amphibians","Caudata","Plethodontidae","Plethodon cinereus","Plethodon cinereus","Plethodon cinereus","Both","Weight",0.780204762,1.068,0.1,0.112481234701197,210,30,0.313986618903022,0.000447968191297828,-68.198,44.2416,-0.107791403288504,-1.52287874528034,0.699056854547668,0.480812353515625,-1.44442267214432,6.99342107772827,2.9021757518573,3.13305964275391,"","Island rule","SP45"
"Shaidani 2017","ES135","CC61","Maine (USA)","Bois Bubert Island","Amphibians","Caudata","Plethodontidae","Plethodon cinereus","Plethodon cinereus","Plethodon cinereus","Both","Weight",0.780204762,0.9393,0.1,0.0989266140026534,210,30,0.185578516383351,0.000447968191297828,-67.865,44.4367,-0.107791403288504,0.778151250383644,0.000434077479318593,0.5581486328125,-1.41389170334405,6.71992444992065,2.912402670458,3.11538413577037,"","Island rule","SP45"
"Shaidani 2017","ES136","CC61","Maine (USA)","Cross Island","Amphibians","Caudata","Plethodontidae","Plethodon cinereus","Plethodon cinereus","Plethodon cinereus","Both","Weight",0.780204762,1.1655,0.1,0.122749886745547,210,31,0.401349057858693,0.000436041095817865,-67.2975,44.609,-0.107791403288504,0.845098040014257,0.000434077479318593,0.6727935546875,-1.38688515532662,6.25275993347168,2.93813905135477,3.08838416879674,"","Island rule","SP45"
"Shaidani 2017","ES137","CC61","Maine (USA)","Crow island","Amphibians","Caudata","Plethodontidae","Plethodon cinereus","Plethodon cinereus","Plethodon cinereus","Both","Weight",0.780204762,1.1233,0.1,0.118305403501736,210,30,0.364469660030405,0.000447968191297828,-69.982,43.848,-0.107791403288504,-1.30102999566398,0.699056854547668,0.610496240234375,-1.39520955152527,7.70943880081177,2.96217906052517,3.06087528730007,"","Island rule","SP45"
"Shaidani 2017","ES138","CC61","Maine (USA)","Great Duck island","Amphibians","Caudata","Plethodontidae","Plethodon cinereus","Plethodon cinereus","Plethodon cinereus","Both","Weight",0.780204762,0.9183,0.1,0.0967149043315625,210,30,0.162967734002358,0.000447968191297828,-68.2498,44.152,-0.107791403288504,-0.0969100130080564,1.00004342727686,0.56380498046875,-1.49807985570705,7.08821773529053,2.89451728844387,3.14384199111013,"","Island rule","SP45"
"Shaidani 2017","ES139","CC61","Maine (USA)","Long island","Amphibians","Caudata","Plethodontidae","Plethodon cinereus","Plethodon cinereus","Plethodon cinereus","Both","Weight",0.780204762,0.676,0.1,0.0711959875074989,210,30,-0.143363324574154,0.000447968191297828,-70.16,43.6878,-0.107791403288504,0.778151250383644,0.699056854547668,0.524057861328125,-1.39035798457263,7.8782262802124,2.92185329614552,3.0595369329722,"","Island rule","SP45"
"Shaidani 2017","ES140","CC61","Maine (USA)","Matinicus island","Amphibians","Caudata","Plethodontidae","Plethodon cinereus","Plethodon cinereus","Plethodon cinereus","Both","Weight",0.780204762,1.1138,0.1,0.117304868174338,210,31,0.35597647053845,0.000436041095817865,-69.892,43.8636,-0.107791403288504,0.511883360978874,1.3617467179759,0.643802392578125,-1.41080347500388,7.77707099914551,2.95564823718308,3.06089795841338,"","Island rule","SP45"
"Shaidani 2017","ES141","CC61","Maine (USA)","Monhegan Island","Amphibians","Caudata","Plethodontidae","Plethodon cinereus","Plethodon cinereus","Plethodon cinereus","Both","Weight",0.780204762,0.8483,0.1,0.0893425387612594,210,30,0.0836779461965708,0.000447968191297828,-69.312,43.7644,-0.107791403288504,0.397940008672038,1.23047446736116,0.606283349609375,-1.43466407966477,7.67955017089844,2.9279478741377,3.07102457351396,"","Island rule","SP45"
"Shaidani 2017","ES142","CC61","Maine (USA)","Mount Desert Island","Amphibians","Caudata","Plethodontidae","Plethodon cinereus","Plethodon cinereus","Plethodon cinereus","Both","Weight",0.780204762,0.9268,0.1,0.0976101201508136,210,19,0.172181391941103,0.000662028168069795,-68.304,44.3875,-0.107791403288504,1,0.602168551378997,0.668637109375,-1.41621375820377,7.055091381073,2.95013585711644,3.124572676554,"","Island rule","SP45"
"Shaidani 2017","ES143","CC61","Maine (USA)","Petit Manan Island","Amphibians","Caudata","Plethodontidae","Plethodon cinereus","Plethodon cinereus","Plethodon cinereus","Both","Weight",0.780204762,1.9231,0.1,0.202539946117857,210,37,0.902137345699683,0.000378017388077505,-67.8656,44.3674,-0.107791403288504,-1.39794000867204,0.602168551378997,0.53497294921875,-1.37803413409698,6.83229160308838,2.89263766126523,3.12385164096709,"","Island rule","SP45"
"Shaidani 2017","ES144","CC61","Maine (USA)","Placentia Island","Amphibians","Caudata","Plethodontidae","Plethodon cinereus","Plethodon cinereus","Plethodon cinereus","Both","Weight",0.780204762,0.9662,0.1,0.101759708771813,210,27,0.213814451503188,0.000489050409062145,-68.3648,44.1917,-0.107791403288504,0.301029995663981,0.602168551378997,0.63416591796875,-1.4412051430878,6.93654441833496,2.90824373605859,3.12432811106384,"","Island rule","SP45"
"Shaidani 2017","ES145","CC61","Maine (USA)","Western Brothers Island","Amphibians","Caudata","Plethodontidae","Plethodon cinereus","Plethodon cinereus","Plethodon cinereus","Both","Weight",0.780204762,1.464,0.1,0.154187759927483,210,31,0.629371293904138,0.000436041095817865,-69.241,43.912,-0.107791403288504,-1.30102999566398,0.699056854547668,0.6383482421875,-1.46150883302297,7.43429565429688,2.92312266308437,3.07421282565938,"","Island rule","SP45"
"Wu et al 2006b","ES146","CC62","China (Zhejiang province)","Daishan","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Rana limnocharis","Rana limnocharis","Both","Weight",6.06471264367816,7.89295454545454,2.76216796749887,3.09433809969929,174,44,0.263483370036415,0.0046851895237347,122.187,30.28,0.782810228084468,2,1.56821346159708,0.354496875,-1.98108979192221,16.5334606170654,2.90113292885649,3.05979053033477,"","Island rule","SP10"
"Wu et al 2006b","ES147","CC62","China (Zhejiang province)","Fodu","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Rana limnocharis","Rana limnocharis","Both","Weight",6.06471264367816,6.38016129032258,2.76216796749887,2.52729006167356,174,62,0.0507062158214089,0.00372293334302462,122.018,29.736,0.782810228084468,0.845098040014257,0.845160077651946,0.391640258789063,-2.03877913237768,16.556058883667,2.89704666497602,3.1004911573089,"","Island rule","SP10"
"Wu et al 2006b","ES148","CC62","China (Zhejiang province)","Liuheng","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Rana limnocharis","Rana limnocharis","Both","Weight",6.06471264367816,7.45603448275862,2.76216796749887,2.01721967740002,174,58,0.206536540375537,0.00245415817518737,122.147,29.708,0.782810228084468,1.96731391828708,0.845160077651946,0.35606962890625,-1.88555673896455,16.6010551452637,2.89329762064745,3.10157524625593,"","Island rule","SP10"
"Wu et al 2006b","ES149","CC62","China (Zhejiang province)","Mayi","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Rana limnocharis","Rana limnocharis","Both","Weight",6.06471264367816,10.068,2.76216796749887,2.4213371243645,174,50,0.506874915442505,0.0023489376714786,122.258,29.871,0.782810228084468,0.845098040014257,0.845160077651946,0.361122216796875,-1.89658049072625,16.5482521057129,2.89062538683623,3.1012313867907,"","Island rule","SP10"
"Wu et al 2006b","ES150","CC62","China (Zhejiang province)","Taohua","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Rana limnocharis","Rana limnocharis","Both","Weight",6.06471264367816,7.09673469387755,2.76216796749887,2.88262422935894,174,49,0.157147614158452,0.00455930175819434,122.232,29.818,0.782810228084468,1.61278385671974,0.944532020991981,0.361122216796875,-1.89658049072625,16.5482521057129,2.89062538683623,3.1012313867907,"","Island rule","SP10"
"Wu et al 2006b","ES151","CC62","China (Zhejiang province)","Xiashi","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Rana limnocharis","Rana limnocharis","Both","Weight",6.06471264367816,9.29647058823529,2.76216796749887,3.31118845491422,174,34,0.427147659656409,0.00492338447850369,122.26,29.743,0.782810228084468,1.22271647114758,1.12060683105677,0.354645043945313,-1.75885052652849,16.4318161010742,2.88477473136339,3.10183296230458,"","Island rule","SP10"
"Wu et al 2006b","ES152","CC62","China (Zhejiang province)","Zhoushan","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Rana limnocharis","Rana limnocharis","Both","Weight",6.06471264367816,4.86522388059702,2.76216796749887,1.51830683028611,174,67,-0.220374428629217,0.00264572776002383,122.121,30.059,0.782810228084468,2.67089495352021,0.954290761701127,0.478612109375,-1.93870371041364,16.4111042022705,2.90208705528113,3.10209739847876,"","Island rule","SP10"
"Wu et al 2006n","ES153","CC63","China (Zhejiang province)","Daishan","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Rana limnocharis","Rana limnocharis","Both","Weight",5.88727272727273,10.6490909090909,1.44270849177968,2.5646364789701,99,55,0.5926816718522,0.00166112977786821,122.187,30.28,0.769914154923111,2,1.56821346159708,0.354496875,-1.98108979192221,16.5334606170654,2.90113292885649,3.05979053033477,"","Island rule","SP10"
"Wu et al 2006n","ES154","CC63","China (Zhejiang province)","Fodu","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Rana limnocharis","Rana limnocharis","Both","Weight",5.88727272727273,7.77540540540541,1.44270849177968,2.17158492373091,99,37,0.278172742869207,0.00271475876414063,122.018,29.736,0.769914154923111,0.845098040014257,0.845160077651946,0.391640258789063,-2.03877913237768,16.556058883667,2.89704666497602,3.1004911573089,"","Island rule","SP10"
"Wu et al 2006n","ES155","CC63","China (Zhejiang province)","Liuheng","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Rana limnocharis","Rana limnocharis","Both","Weight",5.88727272727273,7.0072602739726,1.44270849177968,2.00492259489856,99,73,0.174153937538714,0.00172802733501338,122.147,29.708,0.769914154923111,1.96731391828708,0.845160077651946,0.35606962890625,-1.88555673896455,16.6010551452637,2.89329762064745,3.10157524625593,"","Island rule","SP10"
"Wu et al 2006n","ES156","CC63","China (Zhejiang province)","Mayi","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Rana limnocharis","Rana limnocharis","Both","Weight",5.88727272727273,10.2443902439024,1.44270849177968,1.7944108345577,99,41,0.553937406475906,0.00135490836674509,122.258,29.871,0.769914154923111,0.845098040014257,0.845160077651946,0.361122216796875,-1.89658049072625,16.5482521057129,2.89062538683623,3.1012313867907,"","Island rule","SP10"
"Wu et al 2006n","ES157","CC63","China (Zhejiang province)","Taohua","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Rana limnocharis","Rana limnocharis","Both","Weight",5.88727272727273,8.9778947368421,1.44270849177968,2.10136398129596,99,38,0.421972559713458,0.00204827138330548,122.232,29.818,0.769914154923111,1.61278385671974,0.944532020991981,0.361122216796875,-1.89658049072625,16.5482521057129,2.89062538683623,3.1012313867907,"","Island rule","SP10"
"Wu et al 2006n","ES158","CC63","China (Zhejiang province)","Xiashi","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Rana limnocharis","Rana limnocharis","Both","Weight",5.88727272727273,9.93,1.44270849177968,2.68219027686124,99,48,0.522767622046017,0.00212657325957574,122.26,29.743,0.769914154923111,1.22271647114758,1.12060683105677,0.354645043945313,-1.75885052652849,16.4318161010742,2.88477473136339,3.10183296230458,"","Island rule","SP10"
"Wu et al 2006n","ES159","CC63","China (Zhejiang province)","Zhoushan","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Rana limnocharis","Rana limnocharis","Both","Weight",5.88727272727273,6.33785714285714,1.44270849177968,1.47511566803474,99,56,0.073747865220923,0.00157392799364173,122.121,30.059,0.769914154923111,2.67089495352021,0.954290761701127,0.478612109375,-1.93870371041364,16.4111042022705,2.90208705528113,3.10209739847876,"","Island rule","SP10"
"Xu et al. 2013","ES160","CC64","China (Zhejiang province)","Cezi","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Fejervarya limnocharis","Fejervarya limnocharis","Female","SVL",4.54570424895353,5.25526058471084,0.316588048269014,0.354521547381286,125,30,0.145046925165171,0.000190500496186369,121.934,30.095,0.657601176389883,1.17318626841227,1.21751026429403,0.46007119140625,-1.7936277826656,16.3729953765869,2.90136442176682,3.08913118693145,"","Island rule","SP10"
"Xu et al. 2013","ES161","CC64","China (Zhejiang province)","Changbai","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Fejervarya limnocharis","Fejervarya limnocharis","Female","SVL",4.54570424895353,5.50171071097787,0.316588048269014,0.345706516557778,125,27,0.190876416344942,0.000185040542839209,122.035,30.181,0.657601176389883,1.01029995663981,1.57519939515923,0.3764142578125,-1.95207443986358,16.3839740753174,2.90145522832044,3.08421510584641,"","Island rule","SP10"
"Xu et al. 2013","ES162","CC64","China (Zhejiang province)","Dachangtu","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Fejervarya limnocharis","Fejervarya limnocharis","Female","SVL",4.54570424895353,4.80891557446733,0.316588048269014,0.37642454904678,125,31,0.0562889405150949,0.000236455407652677,122.339,30.252,0.657601176389883,1.52244423350632,1.57519939515923,0.33103955078125,-1.76820927592597,16.4136009216309,2.89318285521788,3.05823616894277,"","Island rule","SP10"
"Xu et al. 2013","ES163","CC64","China (Zhejiang province)","Daishan","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Fejervarya limnocharis","Fejervarya limnocharis","Female","SVL",4.54570424895353,4.51624794904721,0.316588048269014,0.453268774917374,125,34,-0.0065011165384651,0.000335066821557655,122.187,30.28,0.657601176389883,2,1.56821346159708,0.354496875,-1.98108979192221,16.5334606170654,2.90113292885649,3.05979053033477,"","Island rule","SP10"
"Xu et al. 2013","ES164","CC64","China (Zhejiang province)","Damao","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Fejervarya limnocharis","Fejervarya limnocharis","Female","SVL",4.54570424895353,6.66036614800832,0.316588048269014,0.708843391011251,125,23,0.381991794328842,0.000531270345521998,122.04,29.95,0.657601176389883,0.755874855672491,0.944532020991981,0.40530107421875,-1.87741305401926,16.3550586700439,2.88981287142187,3.10539777956291,"","Island rule","SP10"
"Xu et al. 2013","ES165","CC64","China (Zhejiang province)","Daxie","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Fejervarya limnocharis","Fejervarya limnocharis","Female","SVL",4.54570424895353,4.21089293922365,0.316588048269014,0.299898832769583,125,28,-0.0765079411082724,0.000219956009648522,121.967,29.918,0.657601176389883,1.45024910831936,-0.396855627379818,0.399638330078125,-1.85949311737401,16.5767021179199,2.90094963019386,3.10341370172903,"","Island rule","SP10"
