"","Reference","ID","CommonControl","Mainland","Island","Class","Order","Family","Binomial","Species_main","Species_island","guild","Sex","Measure","Mean_m","Mean_i","sd_m","sd_i","N_m","N_i","RR","var","Long_i","Lat_i","logmass","Island_km2","Dist_near_mainland","NDVI","SDNDVI","tmean","tseas","prec","Archipielago","Phylogeny","Data_source_type","imputed","SPID"
"847","Kloss 1919","ES848","CC370","Tachin, C. Siam","Koh Lan","Mammals","Rodentia","Muridae","Rattus rattus","Rattus rattus","Rattus rattus","Omn","Female","Length",195.873534956409,188.478312822731,8.25747617827073,21.1727423387952,2,4,-0.0384862722350819,0.00404341129367543,100.780211,12.918215,2.29197576116662,0.7481880270062,0.857392810920901,0.558203515625,-1.5019999863431,27.9364986419678,2.11373751566303,3.06818586174616,"No","Conspecific","No island rule","No","SP170"
"848","Kloss 1919","ES849","CC370","Tachin, C. Siam","Koh Mesan","Mammals","Rodentia","Muridae","Rattus rattus","Rattus rattus","Rattus rattus","Omn","Both","Length",186.150524150579,237.595274738966,7.45781107965342,4.54532183378191,5,7,0.244013083770601,0.000373296600485349,100.949966,12.576948,2.26986426341438,0.619093330626743,0.079543007402906,0.539491748046875,-1.57002054642745,27.90598487854,2.10421339834435,3.10284171695288,"No","Conspecific","No island rule","No","SP170"
"849","Granjon and Cheylan 1990","ES850","CC371","Porouerolles","Langoustier","Mammals","Rodentia","Muridae","Rattus rattus","Rattus rattus","Rattus rattus","Omn","Both","Length",183.554038890517,169.009150212972,11.6057462193671,8.07884972748472,18,22,-0.0825562572781694,0.000325960384142149,6.161471,43.004463,2.2637639450839,-1.69897000433602,-0.995678626217357,0.504853955078125,-1.95759934311425,15.5247030258179,2.71101927562742,2.84042605521599,"No","Conspecific","Island rule","No","SP170"
"850","Granjon and Cheylan 1990","ES851","CC366","Corsica","Lavezzi","Mammals","Rodentia","Muridae","Rattus rattus","Rattus rattus","Rattus rattus","Omn","Both","Length",133.369276826353,162.025007203518,6.27084115264281,6.00196983206074,73,12,0.194628890464689,0.000144635879408086,9.2543,41.3414,2.12505579628585,-0.180456064458131,0.579897869603104,0.605576953125,-1.8236754957732,16.7973308563232,2.70583347315897,2.67265192847265,"No","Conspecific","Island rule","No","SP170"
"851","Granjon and Cheylan 1990","ES852","CC365","Provance ","Le Grand Congloue ","Mammals","Rodentia","Muridae","Rattus rattus","Rattus rattus","Rattus rattus","Omn","Both","Length",169.009150212972,203.146731495039,9.83554106607757,11.7822930412318,21,11,0.183975676453753,0.000467078083816105,5.4012,43.176,2.2279102181014,-1.69897000433602,0.556423121371285,0.464302978515625,-2.13713544836782,14.3566493988037,2.76470490564852,2.79629672310343,"No","Conspecific","Island rule","No","SP170"
"852","Granjon and Cheylan 1990","ES853","CC365","Provance ","Le Levant","Mammals","Rodentia","Muridae","Rattus rattus","Rattus rattus","Rattus rattus","Omn","Both","Length",169.009150212972,197.977215263756,10.4629308298607,10.3692169981557,21,10,0.158199092918089,0.00045682427321507,6.466634,43.027209,2.2279102181014,0.954242509439325,0.977769318091574,0.636250390625,-2.07633531169966,15.6719493865967,2.69427791214453,2.87644880097044,"No","Conspecific","Island rule","No","SP170"
"853","Granjon and Cheylan 1990","ES854","CC366","Corsica","Piana di Cavallo Island","Mammals","Rodentia","Muridae","Rattus rattus","Rattus rattus","Rattus rattus","Omn","Both","Length",133.369276826353,170.100565638383,6.27084115264281,5.07878611934547,73,21,0.243268026416434,7.27353813407009e-05,9.2286,41.3724,2.12505579628585,-1.22184874961636,-0.521433504406157,0.605576953125,-1.8236754957732,16.7973308563232,2.70583347315897,2.67265192847265,"No","Conspecific","Island rule","No","SP170"
"854","Granjon and Cheylan 1990","ES855","CC365","Provance ","Porouerolles","Mammals","Rodentia","Muridae","Rattus rattus","Rattus rattus","Rattus rattus","Omn","Both","Length",169.009150212972,183.554038890517,10.4629308298607,11.6057462193671,21,18,0.0825562572781694,0.000404600287274934,6.21,42.995,2.2279102181014,1.17860289034059,0.431524584187451,0.626948779296875,-1.62712371587005,15.75,2.68807411270653,2.8668778143375,"No","Conspecific","Island rule","No","SP170"
"855","Granjon and Cheylan 1990","ES856","CC365","Provance ","Port Cross","Mammals","Rodentia","Muridae","Rattus rattus","Rattus rattus","Rattus rattus","Omn","Both","Length",169.009150212972,187.312084291833,10.4629308298607,11.7482634365858,21,64,0.102823269015466,0.000243967844640962,6.397491,43.005292,2.2279102181014,0.845098040014257,0.926393900269682,0.60297421875,-1.96512730130185,15.4641494750977,2.69982304346984,2.86642912061118,"No","Conspecific","Island rule","No","SP170"
"856","Granjon and Cheylan 1990","ES857","CC366","Corsica","Ratino","Mammals","Rodentia","Muridae","Rattus rattus","Rattus rattus","Rattus rattus","Omn","Both","Length",133.369276826353,173.679058976759,6.27084115264281,7.79984009205582,73,14,0.264087309103025,0.000174345943564251,9.246,41.375,2.12505579628585,-1.52287874528034,0.17638069224327,0.605576953125,-1.8236754957732,16.7973308563232,2.70583347315897,2.67265192847265,"No","Conspecific","Island rule","No","SP170"
