"Reference","ID","CommonControl","Mainland","Island","Class","Order","Family","Binomial","Species_main","Species_island","guild","Sex","Measure","Mean_m","Mean_i","sd_m","sd_i","N_m","N_i","RR","var","Long_i","Lat_i","logmass","Island_km2","Dist_near_mainland","NDVI","SDNDVI","tmean","tseas","prec","Phylogeny","Data_source_type","SPID"
"Pigot et al. 2020","ES27","CC18","India","Sri Lanka","Birds","Accipitriformes","Accipitridae","Accipiter trivirgatus","Accipiter trivirgatus","Accipiter trivirgatus","VertFishScav","Female","Wing Length",370.659375101017,230.114758176485,36.2882871840295,8.8586927334322,4,4,-0.476705381375722,0.00276670129743291,80.714,7.74,2.56897498922276,4.8169700377573,1.95424733490676,0.73955419921875,-1.81324836824573,25.914306640625,2.01435160562069,3.3175334789459,"Conspecific","No island rule","SP13"
"Pigot et al. 2020","ES29","CC19","India","Sri Lanka","Birds","Accipitriformes","Accipitridae","Accipiter virgatus","Accipiter virgatus","Accipiter virgatus","VertFishScav","Female","Wing Length",213.044099921232,140.829451191102,14.1157646023233,15.3910174448975,4,4,-0.413949593920714,0.00408349883208568,80.714,7.74,2.32846951127934,4.8169700377573,1.95424733490676,0.73955419921875,-1.81324836824573,25.914306640625,2.01435160562069,3.3175334789459,"Conspecific","No island rule","SP14"
"Pigot et al. 2020","ES31","CC20","China","Hainan","Birds","Passeriformes","Sturnidae","Acridotheres cristatellus","Acridotheres cristatellus","Acridotheres cristatellus","Omnivore","Male","Wing Length",86.1586732509463,87.7803924344079,2.09995691669844,5.3220926820417,4,3,0.0186475208449744,0.0013738297489224,109.842,19.229,1.93529900268281,4.51719589794997,1.23047446736116,0.67702998046875,-1.48228771957217,23.9309253692627,2.59292952692165,3.20272176405885,"Conspecific","No island rule","SP15"
"Pigot et al. 2020","ES33","CC21","India","Sri Lanka","Birds","Passeriformes","Sturnidae","Acridotheres tristis","Acridotheres tristis","Acridotheres tristis","Omnivore","Male","Wing Length",99.2069219778245,94.0246492623912,2.38166599993324,1.15743496173091,4,4,-0.0536508157683434,0.000181968139024286,80.714,7.74,1.99654197529829,4.8169700377573,1.95424733490676,0.73955419921875,-1.81324836824573,25.914306640625,2.01435160562069,3.3175334789459,"Conspecific","No island rule","SP16"
"Higgins, Peter and Cowling 2006, Counsilman 1974","ES34","CC22","Vic, Australia","North Island (NZ)","Birds","Passeriformes","Sturnidae","Acridotheres tristis","Acridotheres tristis tristis","Acridotheres tristis tristis","Omnivore","Male","Weight",126,130.5,13.41,8.2,5,32,0.0350913198112702,0.0023887915545837,175.77,-38.53,2.10037054511756,5.05587122048443,3.2174842074226,0.77221298828125,-1.83911506355391,12.0418472290039,2.57434697777563,3.20831303329587,"Conspecific","No island rule","SP16"
"Pigot et al. 2020","ES36","CC23","India","Sri Lanka","Birds","Passeriformes","Pycnonotidae","Acritillas indica","Acritillas indica","Acritillas indica","Omnivore","Female","Wing Length",29.5843176988776,26.5063395219429,0.851014030263712,0.474740409348231,4,4,-0.109860481837062,0.000287062614343452,80.714,7.74,1.4710615576242,4.8169700377573,1.95424733490676,0.73955419921875,-1.81324836824573,25.914306640625,2.01435160562069,3.3175334789459,"Conspecific","No island rule","SP17"
"Pigot et al. 2020","ES38","CC24","India","Sri Lanka","Birds","Passeriformes","Acrocephalidae","Acrocephalus stentoreus","Acrocephalus stentoreus","Acrocephalus stentoreus","Invertebrate","Male","Wing Length",27.1057091898093,22.7142347931412,1.70749929014621,0.362850887235195,4,4,-0.176752565557256,0.00105586060486716,80.714,7.74,1.43306077458254,4.8169700377573,1.95424733490676,0.73955419921875,-1.81324836824573,25.914306640625,2.01435160562069,3.3175334789459,"Conspecific","No island rule","SP18"
"Pigot et al. 2020","ES40","CC25","India","Sri Lanka","Birds","Passeriformes","Aegithinidae","Aegithina tiphia","Aegithina tiphia","Aegithina tiphia","Invertebrate","Male","Wing Length",13.2388641266366,12.2177687371831,0.36109783728086,0.19866290629566,4,4,-0.0802654097826095,0.000252087681936749,80.714,7.74,1.1218507249303,4.8169700377573,1.95424733490676,0.73955419921875,-1.81324836824573,25.914306640625,2.01435160562069,3.3175334789459,"Conspecific","No island rule","SP19"
"Higgins 1999","ES41","CC26","Australia","Tasmania","Birds","Caprimulgiformes","Aegothelidae","Aegotheles cristatus","Aegotheles cristatus cristatus","Aegotheles cristatus tasmanicus","Invertebrate","Male","Weight",44,44,4.81,10.6,22,17,0,0.00395715530671322,146.75,-42,1.64345267648619,4.83506245100823,2.30103216713096,0.698959326171875,-1.94242661746699,8.77623271942139,2.51585998376426,3.16215030256729,"Conspecific","No island rule","SP20"
"Pigot et al. 2020","ES43","CC27","Sierra Leone","Sao Tome","Birds","Psittaciformes","Psittacidae","Agapornis pullarius","Agapornis pullarius","Agapornis pullarius","PlantSeed","Male","Wing Length",35.1731868310822,29.5843176988776,0.986725134567959,1.19554454152264,4,2,-0.173039641118994,0.00101328915736961,6.616,0.234,1.5462117189127,2.931457870689,2.37657878181941,0.69247353515625,-1.40605108208798,22.1624374389648,1.92771272279815,3.40989087473144,"Conspecific","No island rule","SP21"
"Pigot et al. 2020","ES45","CC28","France","Great Britain","Birds","Passeriformes","Alaudidae","Alauda arvensis","Alauda arvensis","Alauda arvensis","PlantSeed","Male","Wing Length",43.7266666113773,48.7145754207319,2.19082359951184,1.83951712900206,4,4,0.108020139330619,0.000984045497181593,-1.6,53.186,1.64074637129722,5.32083354792103,1.51189672368043,0.63427998046875,-1.85767058989911,8.82350254058838,2.65890269736187,2.93182444069733,"Conspecific","No island rule","SP22"
