"Reference","ID","CommonControl","Mainland","Island","Class","Order","Family","Binomial","Species_main","Species_island","guild","Sex","Measure","Mean_m","Mean_i","sd_m","sd_i","N_m","N_i","RR","var","Long_i","Lat_i","logmass","Island_km2","Dist_near_mainland","NDVI","SDNDVI","tmean","tseas","prec","Phylogeny","Data_source_type","SPID"
"Clegg 2002","ES620","CC2","Brisbane, Australia","South Island (NZ)","Birds","Passeriformes","Zosteropidae","Zosterops lateralis","Zosterops lateralis familiaris","Zosterops lateralis lateralis","Omnivore","Unsexed","Weight",10.22,12.61,0.9,0.83,29,34,0.21014356520127,0.000394837456092556,171.154,-43.382,1.00945089579869,5.17735466417846,3.2174842074226,0.554348095703125,-1.80314081668506,8.8675708770752,2.61828228722475,3.19752842676559,"Conspecific","Island rule","SP2"
"Clegg 2002","ES621","CC2","Brisbane, Australia","Tasmania","Birds","Passeriformes","Zosteropidae","Zosterops lateralis","Zosterops lateralis familiaris","Zosterops lateralis lateralis","Omnivore","Unsexed","Weight",10.22,11.78,0.9,0.89,29,34,0.142056593447882,0.000435299137281668,146.5,-42.1,1.00945089579869,4.80317698254222,2.38021305126818,0.698959326171875,-1.94242661746699,8.77623271942139,2.51585998376426,3.16215030256729,"Conspecific","Island rule","SP2"
"Mees 1969","ES622","CC355","Mainland Australia","Norfolk Island","Birds","Passeriformes","Zosteropidae","Zosterops lateralis","Zosterops lateralis familiaris","Zosterops lateralis lateralis","Omnivore","Both","Wing Length",11.7489450347169,12.3479482678786,0.291332225901068,0.247739887668303,45,23,0.0497264648370242,3.11651183368104e-05,167.953,-29.035,1.06999887204007,1.53907609879278,2.87215685569352,0.6346703125,-1.86282464636457,19.2796573638916,2.37142930993741,3.1177947710338,"Conspecific","No island rule","SP2"
"Mees 1969","ES623","CC355","Mainland Australia","South Island (NZ)","Birds","Passeriformes","Zosteropidae","Zosterops lateralis","Zosterops lateralis familiaris","Zosterops lateralis lateralis","Omnivore","Both","Wing Length",11.7489450347169,12.7160316068495,0.291332225901068,0.267303444043843,45,35,0.0791000763624084,2.62888405030154e-05,171.154,-43.382,1.06999887204007,5.17735466417846,3.2174842074226,0.554348095703125,-1.80314081668506,8.8675708770752,2.61828228722475,3.19752842676559,"Conspecific","No island rule","SP2"
"Mees 1969","ES624","CC355","Mainland Australia","Tasmania","Birds","Passeriformes","Zosteropidae","Zosterops lateralis","Zosterops lateralis familiaris","Zosterops lateralis lateralis","Omnivore","Both","Wing Length",11.7489450347169,12.4703208716232,0.291332225901068,0.209588264350188,45,16,0.0595880385664104,3.13182846712756e-05,146.5,-42.1,1.06999887204007,4.80317698254222,2.38021305126818,0.698959326171875,-1.94242661746699,8.77623271942139,2.51585998376426,3.16215030256729,"Conspecific","No island rule","SP2"
"Mees 1969","ES625","CC355","Mainland Australia","Lifou","Birds","Passeriformes","Zosteropidae","Zosterops lateralis","Zosterops lateralis familiaris","Zosterops lateralis melanops","Omnivore","Both","Wing Length",11.7489450347169,13.212734663169,0.291332225901068,0.262588785031617,45,11,0.117417659452697,4.95702481057363e-05,167.238,-20.987,1.06999887204007,3.07813043080256,3.18327012846598,0.814644189453125,-1.99998522246982,23.2830600738525,2.34569797901658,3.1895496296457,"Conspecific","No island rule","SP2"
"Mees 1969","ES626","CC355","Mainland Australia","Loyalty islands (Maré and Ouvéa)","Birds","Passeriformes","Zosteropidae","Zosterops lateralis","Zosterops lateralis familiaris","Zosterops lateralis nigrescens","Omnivore","Both","Wing Length",11.7489450347169,12.8297958772154,0.291332225901068,0.296069959488994,45,33,0.088006816417135,2.98011149555834e-05,167.975,-21.528,1.06999887204007,2.80733203929119,3.19589992902983,0.84213720703125,-1.84716477509292,22.6318130493164,2.36860159388894,3.18253449317015,"Conspecific","No island rule","SP2"
"Mees 1969","ES627","CC355","Mainland Australia","Lord Howe Island","Birds","Passeriformes","Zosteropidae","Zosterops lateralis","Zosterops lateralis familiaris","Zosterops lateralis tephropleura","Omnivore","Both","Wing Length",11.7489450347169,11.6431373996047,0.291332225901068,0.27790681013477,45,15,-0.00904651024641741,5.16447115393426e-05,159.082,-31.558,1.06999887204007,1.16286299332193,2.75587561759197,0.555617529296875,-1.55504456814652,19.1541423797607,2.38969166427432,3.20210943433981,"Conspecific","No island rule","SP2"
"Mees 1969","ES628","CC355","Mainland Australia","Vanuatu (Espiritu Santo)","Birds","Passeriformes","Zosteropidae","Zosterops lateralis","Zosterops lateralis familiaris","Zosterops lateralis tropica","Omnivore","Both","Wing Length",11.7489450347169,13.2202799866178,0.291332225901068,0.333420319783489,45,27,0.117988560937348,3.72216868272199e-05,166.925,-15.367,1.06999887204007,3.59545245949149,3.25527274637795,0.83714169921875,-1.63748023379822,24.896390914917,1.8798968616065,3.49756727804715,"Conspecific","No island rule","SP2"
"Mees 1969","ES629","CC355","Mainland Australia","Mota Lava","Birds","Passeriformes","Zosteropidae","Zosterops lateralis","Zosterops lateralis familiaris","Zosterops lateralis valuensis","Omnivore","Both","Wing Length",11.7489450347169,14.0751857115805,0.291332225901068,0.1200511459955,45,7,0.180649916087257,2.40563023891473e-05,167.673,-13.672,1.06999887204007,1.38021124171161,3.30103021281117,0.762417138671875,-1.8906501922596,26.527738571167,1.77549434947932,3.58505107192491,"Conspecific","No island rule","SP2"
"Mees 1969","ES630","CC355","Mainland Australia","Ambrym","Birds","Passeriformes","Zosteropidae","Zosterops lateralis","Zosterops lateralis familiaris","Zosterops lateralis vatensis","Omnivore","Both","Wing Length",11.7489450347169,15.7675056744611,0.291332225901068,0.237381052381728,45,6,0.294187767159075,5.14395555431303e-05,168.13,-16.244,1.06999887204007,2.83103748564003,3.25527274637795,0.69391220703125,-1.61544391246161,24.0275115966797,1.94740574029905,3.53214261849286,"Conspecific","No island rule","SP2"
"Mees 1969","ES631","CC355","Mainland Australia","Epi","Birds","Passeriformes","Zosteropidae","Zosterops lateralis","Zosterops lateralis familiaris","Zosterops lateralis vatensis","Omnivore","Both","Wing Length",11.7489450347169,15.0044382778334,0.291332225901068,0.397420926969431,45,2,0.244582590245812,0.000364441359760733,168.231,-16.731,1.06999887204007,2.64738297011462,3.26387291340899,0.85189306640625,-1.73048552378081,24.8894577026367,2.07104287788111,3.44098775147616,"Conspecific","No island rule","SP2"
"Mees 1969","ES632","CC355","Mainland Australia","Erromanga","Birds","Passeriformes","Zosteropidae","Zosterops lateralis","Zosterops lateralis familiaris","Zosterops lateralis vatensis","Omnivore","Both","Wing Length",11.7489450347169,15.9520869304626,0.291332225901068,0.478585742114833,45,10,0.305826210427152,0.000103672353712548,169.116,-18.812,1.06999887204007,2.9484129657786,3.25527274637795,0.84921142578125,-1.91448022302238,23.7999668121338,2.17731046917318,3.38168351735923,"Conspecific","No island rule","SP2"
"Mees 1969","ES633","CC355","Mainland Australia","Lopevi","Birds","Passeriformes","Zosteropidae","Zosterops lateralis","Zosterops lateralis familiaris","Zosterops lateralis vatensis","Omnivore","Male","Wing Length",11.8719726956538,15.816148451898,0.24427364872143,0.177263740772662,27,3,0.286851085481025,5.7551277878521e-05,168.344,-16.512,1.07452288910236,1.46239799789896,3.29181290927221,0.624509716796875,-1.53830212853767,24.3785419464111,1.99421631545837,3.49565533192113,"Conspecific","No island rule","SP2"
"Mees 1969","ES634","CC355","Mainland Australia","Makura","Birds","Passeriformes","Zosteropidae","Zosterops lateralis","Zosterops lateralis familiaris","Zosterops lateralis vatensis","Omnivore","Both","Wing Length",11.7489450347169,16.503650297287,0.291332225901068,0.168289626348777,45,3,0.339818134297457,4.8324039509056e-05,168.437,-17.136,1.06999887204007,0.278753600952829,1.51852710011734,0.620515283203125,-1.65589010211936,25.0957813262939,2.12362233274767,3.40091771465109,"Conspecific","No island rule","SP2"
"Mees 1969","ES635","CC355","Mainland Australia","Malekula","Birds","Passeriformes","Zosteropidae","Zosterops lateralis","Zosterops lateralis familiaris","Zosterops lateralis vatensis","Omnivore","Male","Wing Length",11.8719726956538,15.4308626832404,0.24427364872143,0.484871996313377,27,2,0.262189187761871,0.000509357939424737,167.542,-16.311,1.07452288910236,3.30984300471607,2.71600417881569,0.7613927734375,-1.69769287694194,25.2477016448975,2.02709665762485,3.44317154459988,"Conspecific","No island rule","SP2"
"Mees 1969","ES636","CC355","Mainland Australia","Paama","Birds","Passeriformes","Zosteropidae","Zosterops lateralis","Zosterops lateralis familiaris","Zosterops lateralis vatensis","Omnivore","Female","Wing Length",11.5658463695233,15.6225025870445,0.343303998935825,0.370105430356618,18,3,0.300655871709988,0.000236027953632642,168.236,-16.469,1.06317741922199,1.50105926221775,3.26951317770951,0.696959326171875,-1.8262845321624,25.3287029266357,2.05533104279285,3.42155456438647,"Conspecific","No island rule","SP2"
"Mees 1969","ES637","CC355","Mainland Australia","Tanna","Birds","Passeriformes","Zosteropidae","Zosterops lateralis","Zosterops lateralis familiaris","Zosterops lateralis vatensis","Omnivore","Both","Wing Length",11.7489450347169,17.8904083307853,0.291332225901068,0.453904199700625,45,5,0.420501269507098,0.00014240495255074,169.343,-19.513,1.06999887204007,2.74036268949424,3.25430657414329,0.84173896484375,-1.48594116339386,23.3076782226562,2.1704165222716,3.37621916256085,"Conspecific","No island rule","SP2"
"Mees 1969","ES638","CC355","Mainland Australia","Vate","Birds","Passeriformes","Zosteropidae","Zosterops lateralis","Zosterops lateralis familiaris","Zosterops lateralis vatensis","Omnivore","Both","Wing Length",11.7489450347169,15.5266007670582,0.291332225901068,0.254824885224644,45,6,0.278791279213528,5.85567579098974e-05,168.43,-17.658,1.06999887204007,2.95400116768157,3.2521247955355,0.84914091796875,-1.7461858504217,24.3710041046143,2.15453452039091,3.41819354932967,"Conspecific","No island rule","SP2"
"Pigot et al. 2020","ES640","CC356","Malaysia","Java","Birds","Passeriformes","Zosteropidae","Zosterops palpebrosus","Zosterops palpebrosus","Zosterops palpebrosus","Omnivore","Male","Wing Length",7.73390798650102,7.63963495689685,0.257746631042805,0.24461811538456,4,4,-0.0122644743166574,0.000533983208876557,107.5667,-6.95,0.888399000786881,5.14236944055135,2.53148019437709,0.578037841796875,-1.53148428213906,25.1530380249023,1.57611938331645,3.32056563345461,"Conspecific","No island rule","SP310"
"Pigot et al. 2020","ES642","CC357","Cameroon","Bioko","Birds","Passeriformes","Zosteropidae","Zosterops senegalensis","Zosterops senegalensis","Zosterops senegalensis","FruiNect","Male","Wing Length",9.33810495260469,8.81722942136734,0.541187548565433,0.461761570437534,4,4,-0.0573956396781456,0.0015253522178529,8.7,3.5,0.970258750734317,3.30470589821277,1.62325963061961,0.507468408203125,-1.41670752650152,23.4745044708252,1.91661749949895,3.40021016675251,"Conspecific","No island rule","SP311"
"Grant 1966","ES643","CC358","Quintana roo","Cozumel","Birds","Passeriformes","Vireonidae","Vireo griseus","Vireo griseus semiflavus","Vireo bairdi","Invertebrate","Male","Weight",10.24,11.6,0.583429368999199,0.525710569453507,17,2,0.124703478500957,0.00121789916225283,-86.917,20.417,1.01029995663981,2.68663626926229,1.22533513181854,0.781641552734375,-1.83171640732809,26.0968704223633,2.22414629898514,3.15961532211873,"Grant, P. Further information on the relative length of the tarsus in land birds.  (Yale Peabody Museum of Natural History, 1966).","No island rule","SP300"
"Keast 1968","ES644","CC359","Australia","Tasmania","Birds","Passeriformes","Acanthizidae","Sericornis frontalis","Sericornis frontalis","Sericornis magnus","Invertebrate","Male","Wing Length",9.65929493148768,9.23249017732752,0.464681081168354,0.235848158166276,9,8,-0.0451918532811578,0.000338715413644797,146.5,-42.1,0.984945426773712,4.80317698254222,2.38021305126818,0.698959326171875,-1.94242661746699,8.77623271942139,2.51585998376426,3.16215030256729,"Keast, A. Competitive interactions and the evolution of ecological niches as illustrated by the Australian honeyeater genus Melithreptus (Meliphagidae). Evolution, 762-784 (1968).","No island rule","SP270"
"Mees 1969","ES645","CC355","Mainland Australia","Norfolk Island","Birds","Passeriformes","Zosteropidae","Zosterops lateralis","Zosterops lateralis familiaris","Zosterops albogularis","Omnivore","Both","Wing Length",11.7489450347169,21.7170570094864,0.291332225901068,0.374769927324107,45,17,0.6143345368045,3.11814134412243e-05,167.953,-29.035,1.06999887204007,1.53907609879278,2.87215685569352,0.6346703125,-1.86282464636457,19.2796573638916,2.37142930993741,3.1177947710338,"Mees, G. F. A systematic review of the Indo-Australian Zosteropidae (Part III).  (EJ Brill, 1969).","No island rule","SP2"
"Mees 1969","ES646","CC355","Mainland Australia","Norfolk Island","Birds","Passeriformes","Zosteropidae","Zosterops lateralis","Zosterops lateralis familiaris","Zosterops tenuirostris","Omnivore","Both","Wing Length",11.7489450347169,15.0985786365128,0.291332225901068,0.588222507747296,45,12,0.250837157078197,0.000140145994589596,167.953,-29.035,1.06999887204007,1.53907609879278,2.87215685569352,0.6346703125,-1.86282464636457,19.2796573638916,2.37142930993741,3.1177947710338,"Mees, G. F. A systematic review of the Indo-Australian Zosteropidae (Part III).  (EJ Brill, 1969).","No island rule","SP2"
"Madeira et al. 2018, Schifter et al 1998","ES647","CC360","Africa (Kenya)","Sao Tome","Birds","Passeriformes","Cisticolidae","Prinia bairdii","Prinia bairdii","Prinia molleri","Invertebrate","Both","Weight",14.038,9.66993189085417,2.363,0.857178879598405,8,48,-0.372746672212798,0.00370552635785801,6.616,0.234,1.14730523807619,2.931457870689,2.37657878181941,0.69247353515625,-1.40605108208798,22.1624374389648,1.92771272279815,3.40989087473144,"Morinay et al. 2013. The evolution of birdsong on islands. EcolEvol 3","No island rule","SP312"
"Pons et al. 2013","ES653","CC364","India","Mahé (Seychelles)","Birds","Strigiformes","Strigidae","Otus sunia","Otus sunia","Otus insularis","Invertebrate","Male","Wing Length",103.203826309581,139.748485012891,3.43726077069967,5.47298066844332,11,2,0.303138342278203,0.000867715118029074,55.484,-4.676,2.01369579917425,2.19672872262329,3.02530627497635,0.6480224609375,-1.83333560338951,26.1539478302002,1.88637814090916,3.37103460852264,"Phylogenetic relationships in the paper: Pons, J. M., Kirwan, G. M., Porter, R. F. & Fuchs, J. A reappraisal of the systematic affinities of Socotran, Arabian and East African scops owls (Otus, Strigidae) using a combination of molecular, biometric and acoustic data. Ibis 155, 518-533 (2013).","No island rule","SP313"
"Pons et al. 2013","ES654","CC364","India","Socotra","Birds","Strigiformes","Strigidae","Otus sunia","Otus sunia","Otus socotranus","Invertebrate","Both","Wing Length",104.861253518458,76.9222059575699,3.04180255659511,2.15136430687671,17,17,-0.309843482378007,9.55099420670314e-05,53.595,12.495,2.0206150449941,3.55711001984456,2.36530262140015,0.202597534179688,-1.95727385143734,24.9122791290283,2.13738800723291,2.04763126120543,"Phylogenetic relationships in the paper: Pons, J. M., Kirwan, G. M., Porter, R. F. & Fuchs, J. A reappraisal of the systematic affinities of Socotran, Arabian and East African scops owls (Otus, Strigidae) using a combination of molecular, biometric and acoustic data. Ibis 155, 518-533 (2013).","No island rule","SP313"
"Madeira et al. 2018, Cox et al. 2011","ES655","CC365","Africa (Nigeria)","Sao Tome","Birds","Passeriformes","Ploceidae","Ploceus cucullatus","Ploceus cucullatus","Ploceus grandis","Omnivore","Both","Weight",36.38,61.0082304557407,0.605,8.98065195400583,738,54,0.516989607485654,0.000401652521197441,6.616,0.234,1.56086269472746,2.931457870689,2.37657878181941,0.69247353515625,-1.40605108208798,22.1624374389648,1.92771272279815,3.40989087473144,"Phylogenetic relationships: Lobato, E., Doutrelant, C., Melo, M., Reis, S., & Covas, R. (2017). Insularity effects on bird immune parameters: A comparison between island and mainland populations in West Africa. Ecology and Evolution, 7(11), 3645-3656","No island rule","SP243"
"Madeira et al. 2018, Cox et al. 2011","ES656","CC365","Africa (Nigeria)","Sao Tome","Birds","Passeriformes","Ploceidae","Ploceus cucullatus","Ploceus cucullatus","Ploceus sanctithomae","Omnivore","Both","Weight",36.38,20.9838032007258,0.605,2.63755888651703,738,124,-0.550268309108946,0.000127787883836202,6.616,0.234,1.56086269472746,2.931457870689,2.37657878181941,0.69247353515625,-1.40605108208798,22.1624374389648,1.92771272279815,3.40989087473144,"Phylogenetic relationships: Lobato, E., Doutrelant, C., Melo, M., Reis, S., & Covas, R. (2017). Insularity effects on bird immune parameters: A comparison between island and mainland populations in West Africa. Ecology and Evolution, 7(11), 3645-3656","No island rule","SP243"
"Milá unpublished","ES657","CC366","California","Guadalupe","Birds","Passeriformes","Emberizidae","Junco hyemalis","Junco oreganus thurberi","Junco insularis","PlantSeed","Both","Weight",17.5940298537313,18.3872398190045,0.894751762815633,0.978916414598754,67,221,0.0440973043010224,5.14263501788522e-05,-118.3266,29.1099,1.24536532455074,3.17897694729317,2.40824166177136,0.215285522460938,-1.52057840976834,17.5243759155273,2.36391805348703,2.15480120756627,"Phylogeny: Aleixandre P, Hernández Montoya J, Milá B (2013) Speciation on oceanic islands: rapid adaptive divergence vs. cryptic speciation in a Guadalupe Island songbird (Aves: Junco). PLoS ONE, 8, e63242.","No island rule","SP314"
"Higgins 1999","ES658","CC367","NTA & WA, Australia","Christmas","Birds","Strigiformes","Strigidae","Ninox boobook","Ninox boobook (Ninox novaeseelandiae ocellata)","Ninox natalis","Invertebrate","Both","Weight",226.231578947368,155.023076923077,26.3763955424706,25.0836458622663,19,13,-0.377985171036262,0.0027293702212728,105.67,-10.5,2.35455322660781,2.13033376849501,3.17609154858524,0.73775263671875,-1.37588425158156,24.0597496032715,1.95475012068031,3.29105788900969,"Phylogeny: Gwee, C. Y., Christidis, L., Eaton, J. A., Norman, J. A., Trainor, C. R., Verbelen, P., & Rheindt, F. E. (2017). Bioacoustic and multi-locus DNA data of Ninox owls support high incidence of extinction and recolonisation on small, low-lying islands across Wallacea. Molecular Phylogenetics and Evolution, 109, 246-258.","No island rule","SP315"
"Pigot et al. 2020","ES660","CC368","Australia","New Guinea","Birds","Passeriformes","Acanthizidae","Acanthiza katherina","Acanthiza katherina","Acanthiza murina","Invertebrate","Male","Wing Length",7.92454399764255,10.1721144938273,0.378999930322035,0.135943734554622,2,3,0.24968532490156,0.00120320261215081,141.814,-5.752,0.89897428098375,5.89528604782638,2.18469426933435,0.770036767578125,-1.43826127218963,22.6774826049805,1.75967712212158,3.70400175750796,"Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","SP316"
"Higgins and Peter 2002","ES661","CC7","NSW, ACT, Vic, & SA, Australia","Tasmania","Birds","Passeriformes","Acanthizidae","Acanthiza pusilla","Acanthiza pusilla pusilla","Acanthiza ewingii ewingii","Invertebrate","Both","Weight",7.08421052631579,6.92857142857143,1.35796650412143,0.848445439533708,57,35,-0.0222147891560627,0.00107308694419674,146.5,-42.1,0.850291458935129,4.80317698254222,2.38021305126818,0.698959326171875,-1.94242661746699,8.77623271942139,2.51585998376426,3.16215030256729,"Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","SP5"
"Higgins and Peter 2002","ES662","CC7","NSW, ACT, Vic, & SA, Australia","King Island","Birds","Passeriformes","Acanthizidae","Acanthiza pusilla","Acanthiza pusilla pusilla","Acanthiza ewingii rufifrons","Invertebrate","Both","Weight",7.08421052631579,7.26363636363636,1.35796650412143,0.521066173062459,57,22,0.025012141929671,0.000878557876030017,143.983,-39.8666,0.850291458935129,3.04060234011407,1.93752290693622,0.607816455078125,-1.67055748897574,13.5845718383789,2.40037559565356,2.9906634605853,"Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","SP5"
"Pigot et al. 2020","ES664","CC369","Cameroon","Sao Nicolau","Birds","Passeriformes","Acrocephalidae","Acrocephalus rufescens","Acrocephalus rufescens","Acrocephalus brevipennis","Invertebrate","Both","Wing Length",18.2212387597513,14.539034769361,0.901347086247019,0.146584364860924,4,6,-0.22575079312886,0.000628683583571741,-24.271,16.615,1.26057789888487,2.53529412004277,2.86093721890145,0.236341723632813,-1.57223112031081,22.4233989715576,2.22782392185438,2.26916257969445,"Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","SP317"
"Pigot et al. 2020","ES666","CC370","Vietnam","Taiwan","Birds","Passeriformes","Timaliidae","Sibia souliei","Actinodura souliei","Actinodura morrisoniana","Invertebrate","Male","Wing Length",35.095137364064,25.1390144086173,0.108282476199884,0.433494711875426,3,2,-0.333641585957059,0.000151849313163492,120.66,23.776,1.54524694660115,4.53790720385597,2.15442701651311,0.599242626953125,-1.67388919625799,20.4277744293213,2.60730023921783,3.32563876173415,"Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","SP318"
"Pigot et al. 2020","ES668","CC371","Uganda","Madagascar","Birds","Charadriiformes","Jacanidae","Actophilornis africanus","Actophilornis africanus","Actophilornis albinucha","Invertebrate","Both","Wing Length",125.642033567101,142.460300677401,10.5050587471095,13.7991864109104,4,4,0.125626508951626,0.00409332937604484,46.69,-19.024,2.09913495701509,5.76855226966619,2.62325032443115,0.4362435546875,-2.07991707362871,20.3580513000488,2.31970847423504,3.17846964325927,"Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","SP319"
"Pigot et al. 2020","ES670","CC372","Australia","New Guinea","Birds","Apodiformes","Aegothelidae","Aegotheles cristatus","Aegotheles cristatus","Aegotheles bennettii","Invertebrate","Female","Wing Length",92.7551301243684,69.9752018093135,1.90080802892546,0.866938356843918,2,3,-0.281822091854318,0.000261140755015491,141.814,-5.752,1.96733793902121,5.89528604782638,2.18469426933435,0.770036767578125,-1.43826127218963,22.6774826049805,1.75967712212158,3.70400175750796,"Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","SP20"
"Pigot et al. 2020","ES672","CC373","China","Hainan","Birds","Passeriformes","Nectariniidae","Aethopyga christinae","Aethopyga latouchii","Aethopyga christinae","Omnivore","Male","Wing Length",7.08851736070775,6.47663682263866,0.303732228728508,0.623384771452299,2,2,-0.0902748349291571,0.00555015355943742,109.842,19.229,0.850555407341305,4.51719589794997,1.23047446736116,0.67702998046875,-1.48228771957217,23.9309253692627,2.59292952692165,3.20272176405885,"Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","SP320"
"Pigot et al. 2020","ES674","CC374","Borneo","Samar","Birds","Passeriformes","Nectariniidae","Aethopyga siparaja","Aethopyga siparaja","Aethopyga bella","Omnivore","Male","Wing Length",7.08851736070775,3.89822874502438,0.101244076242836,0.141335780652935,2,2,-0.597953919681931,0.000759263234218945,125.148,11.67,0.850555407341305,4.12804367382646,1.23807120613056,0.758182958984375,-1.62838710768197,26.1694831848145,2.06873771664973,3.53675461341795,"Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","SP321"
"Pigot et al. 2020","ES676","CC375","Borneo","Java","Birds","Passeriformes","Nectariniidae","Aethopyga temminckii","Aethopyga temminckii","Aethopyga mystacalis","Omnivore","Male","Wing Length",8.41340553804515,6.5620195908917,0.224463310015016,0.0683543707384552,2,3,-0.248527911103944,0.000392060045917224,107.5667,-6.95,0.924971823028347,5.14236944055135,2.53148019437709,0.578037841796875,-1.53148428213906,25.1530380249023,1.57611938331645,3.32056563345461,"Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","SP322"
"Pigot et al. 2020","ES678","CC376","USA","Cuba","Birds","Passeriformes","Icteridae","Agelaius phoeniceus","Agelaius phoeniceus","Agelaius assimilis","Omnivore","Female","Wing Length",39.3101133337674,33.0941337375212,0,0.767132870571393,2,2,-0.172125784304366,0.000268663800053749,-77.7811,21.521,1.59450429592283,5.02450824385764,2.290036838508,0.62180009765625,-1.63190089159322,25.5158214569092,2.29131709321764,3.10858025893047,"Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","SP323"
"Pigot et al. 2020","ES680","CC377","Australia","New Guinea","Birds","Passeriformes","Ptilonorhynchidae","Ailuroedus crassirostris","Ailuroedus crassirostris","Ailuroedus buccoides","FruiNect","Female","Wing Length",144.102453830357,77.5617780534081,4.0777928424335,2.13430698207666,4,2,-0.619449776535611,0.000578799065553763,141.814,-5.752,2.15867137620545,5.89528604782638,2.18469426933435,0.770036767578125,-1.43826127218963,22.6774826049805,1.75967712212158,3.70400175750796,"Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","SP324"
"Pigot et al. 2020","ES682","CC378","China","Taiwan","Birds","Passeriformes","Timaliidae","Alcippe cinereiceps","Alcippe cinereiceps","Alcippe formosana","Invertebrate","Both","Wing Length",9.12759690659532,8.16677540412499,0.511588681759785,0.172874908503248,4,4,-0.111228307898641,0.000897382169836872,120.66,23.776,0.960356452498368,4.53790720385597,2.15442701651311,0.599242626953125,-1.67388919625799,20.4277744293213,2.60730023921783,3.32563876173415,"Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","SP325"
"Pigot et al. 2020","ES684","CC379","Brazil","Saint Vincent","Birds","Psittaciformes","Psittacidae","Amazona amazonica","Amazona amazonica","Amazona guildingii","FruiNect","Both","Wing Length",242.500279996805,465.285838146596,13.9162917985216,5.11681721751402,8,4,0.651649057421936,0.000441888541066954,-61.187,13.247,2.38471224438569,2.53781909507327,2.43457050070215,0.672155712890625,-1.81273267786723,25.7361221313477,1.92628089303743,3.31962648415564,"Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","SP326"
"Pigot et al. 2020","ES686","CC380","Chile","Alejandro Selkirk","Birds","Passeriformes","Tyrannidae","Anairetes parulus","Anairetes parulus","Anairetes fernandezianus","Invertebrate","Both","Wing Length",6.70003319932499,9.60530938687662,0.21556957467166,0.226054027656149,5,4,0.360203525217053,0.0003455040219066,-80.799,-33.776,0.826076954678129,1.74429298312268,2.78533054696835,0.4539703125,-1.98968301719828,12.7011804580688,2.3807103400137,3.01890844431633,"Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","SP327"
