"Reference","ID","CommonControl","Mainland","Island","Class","Order","Family","Binomial","Species_main","Species_island","guild","Mean_m","Mean_i","sd_m","sd_i","N_m","N_i","RR","var","Long_i","Lat_i","logmass","Island_km2","Dist_near_mainland","NDVI","SDNDVI","tmean","tseas","prec","Migratory_status","Migratory_status_3","Phylogeny","Data_source_type"
"Clegg 2002","ES24","CC9","Brisbane, Australia","Norfolk island","Birds","Passeriformes","Zosteropidae","Zosterops lateralis","Zosterops lateralis familiaris","Zosterops tenuirostris","Omnivore",10.22,17.2,0.9,0.63,29,34,0.520562799043849,0.000306873599134356,167.953,-29.035,1.00945089579869,1.53907609879278,2.87215685569352,0.6346703125,-1.86282464636457,19.2796573638916,2.37142930993741,3.1177947710338,"dispersive migratory","partial dispersive migrant","","Island rule"
"Clegg 2002","ES25","CC9","Brisbane, Australia","North Island (NZ)","Birds","Passeriformes","Zosteropidae","Zosterops lateralis","Zosterops lateralis familiaris","Zosterops lateralis lateralis","Omnivore",10.22,11.95,0.9,1.36,29,34,0.156384693601961,0.000648360382354476,175.77,-38.53,1.00945089579869,5.05587122048443,3.2174842074226,0.77221298828125,-1.83911506355391,12.0418472290039,2.57434697777563,3.20831303329587,"dispersive migratory","partial dispersive migrant","","Island rule"
"Clegg 2002","ES26","CC9","Brisbane, Australia","South Island (NZ)","Birds","Passeriformes","Zosteropidae","Zosterops lateralis","Zosterops lateralis familiaris","Zosterops lateralis lateralis","Omnivore",10.22,12.61,0.9,0.83,29,34,0.21014356520127,0.000394837456092556,171.154,-43.382,1.00945089579869,5.17735466417846,3.2174842074226,0.554348095703125,-1.80314081668506,8.8675708770752,2.61828228722475,3.19752842676559,"dispersive migratory","partial dispersive migrant","","Island rule"
"Clegg 2002","ES27","CC9","Brisbane, Australia","Tasmania","Birds","Passeriformes","Zosteropidae","Zosterops lateralis","Zosterops lateralis familiaris","Zosterops lateralis lateralis","Omnivore",10.22,11.78,0.9,0.89,29,34,0.142056593447882,0.000435299137281668,146.5,-42.1,1.00945089579869,4.80317698254222,2.38021305126818,0.698959326171875,-1.94242661746699,8.77623271942139,2.51585998376426,3.16215030256729,"dispersive migratory","partial dispersive migrant","","Island rule"
"Grant 1979","ES28","CC10","Northern Africa","El Hierro","Birds","Passeriformes","Paridae","Cyanistes caeruleus","Parus caeruleus","Parus caeruleus","Omnivore",16.5358121324738,21.0036404331744,0.245906538708077,0.722786265681257,176,86,0.239167315467893,1.50264845689384e-05,-17.985,27.731,1.21842552951827,2.42928382893413,2.58546185754465,0.406968139648438,-1.85390874466297,17.809139251709,2.44185707277942,2.4832305869021,"directional migratory","partial directional migrant","","Island rule"
"Grant 1979","ES29","CC10","Northern Africa","Fuerteventura","Birds","Passeriformes","Paridae","Cyanistes caeruleus","Parus caeruleus","Parus caeruleus","Omnivore",16.5358121324738,18.1433458648309,0.245906538708077,0.577658997219367,176,63,0.0927754132799412,1.73469749495471e-05,-14.025,28.412,1.21842552951827,3.22004006068519,2.0000043429231,0.0945629943847656,-2.0220538956053,19.98557472229,2.39910613824,2.09473527826385,"directional migratory","partial directional migrant","","Island rule"
"Grant 1979","ES30","CC10","Northern Africa","Gran Canaria","Birds","Passeriformes","Paridae","Cyanistes caeruleus","Parus caeruleus","Parus caeruleus","Omnivore",16.5358121324738,19.1233371625406,0.245906538708077,0.690446100483944,176,43,0.145380968990932,3.15719709926234e-05,-15.575,27.958,1.21842552951827,3.19312459835446,2.32222136279796,0.23829521484375,-1.73394480036586,18.8258228302002,2.47522419183504,2.35973274019655,"directional migratory","partial directional migrant","","Island rule"
"Grant 1979","ES31","CC10","Northern Africa","La Gomera","Birds","Passeriformes","Paridae","Cyanistes caeruleus","Parus caeruleus","Parus caeruleus","Omnivore",16.5358121324738,19.7922147948108,0.245906538708077,0.669627434009876,176,45,0.179760207006748,2.66934982162181e-05,-17.227,28.124,1.21842552951827,2.56791992813503,2.5237477670925,0.5626884765625,-2.10138676062551,17.0066795349121,2.42138764831647,2.52067999364186,"directional migratory","partial directional migrant","","Island rule"
"Grant 1979","ES32","CC10","Northern Africa","La Palma","Birds","Passeriformes","Paridae","Cyanistes caeruleus","Parus caeruleus","Parus caeruleus","Omnivore",16.5358121324738,19.6381540906285,0.245906538708077,0.661026357580739,176,54,0.17194585007821,2.223832697725e-05,-17.8016,28.7899,1.21842552951827,2.85021724179839,2.61804914320356,0.5870876953125,-2.17629044858854,14.696325302124,2.48601801560357,2.63878865497856,"directional migratory","partial directional migrant","","Island rule"
"Grant 1979","ES33","CC10","Northern Africa","Lanzarore","Birds","Passeriformes","Paridae","Cyanistes caeruleus","Parus caeruleus","Parus caeruleus","Omnivore",16.5358121324738,17.7364846667507,0.245906538708077,0.403442846619493,176,28,0.0700953374710103,1.97352189216777e-05,-13.667,29.012,1.21842552951827,2.92731902495966,2.10380714058408,0.132060974121094,-1.93002685533856,19.3087368011475,2.37727813625928,2.1753958154642,"directional migratory","partial directional migrant","","Island rule"
"Grant 1979","ES34","CC10","Northern Africa","Tenerife","Birds","Passeriformes","Paridae","Cyanistes caeruleus","Parus caeruleus","Parus caeruleus","Omnivore",16.5358121324738,19.4799031843636,0.245906538708077,0.776058144459352,176,100,0.163854867008016,1.71279292331352e-05,-16.629,28.304,1.21842552951827,3.30835094858673,2.49831193250005,0.359321215820313,-1.95980585903315,17.1494407653809,2.47083982326524,2.50907599957652,"directional migratory","partial directional migrant","","Island rule"
"Grant 1979","ES35","CC11","Morocco","Tenerife","Birds","Passeriformes","Paridae","Cyanistes caeruleus","Parus caeruleus","Parus caeruleus","Omnivore",10.12,10.1,0.63,0.699,4,8,-0.00197824001210571,0.00156757493252886,-16.629,28.304,1.00518051250378,3.30835094858673,2.49831193250005,0.359321215820313,-1.95980585903315,17.1494407653809,2.47083982326524,2.50907599957652,"directional migratory","partial directional migrant","","Island rule"
"Milá unpublished","ES36","CC12","California, Mexico","Guadalupe","Birds","Trochiliformes","Trochilidae","Calypte anna","Calypte anna","Calypte anna","FruiNect",4.54615384646154,4.27545454545455,0.431306898829876,0.173966708405298,13,11,-0.0613911438596109,0.000842888065587081,-118.3266,29.1099,0.657644128603813,3.17897694729317,2.40824166177136,0.215285522460938,-1.52057840976834,17.5243759155273,2.36391805348703,2.15480120756627,"dispersive migratory","partial dispersive migrant","","No island rule"
"Milá unpublished","ES37","CC13","Spain","La Palma","Birds","Passeriformes","Fringillidae","Fringilla coelebs","Fringilla coelebs","Fringilla coelebs canariensis","Invertebrate",20.6254545454545,26.0755670103093,1.72810511043955,1.5910380318837,11,97,0.234472775466833,0.000676557639534086,-17.8016,28.7899,1.31440352834475,2.85021724179839,2.61804914320356,0.5870876953125,-2.17629044858854,14.696325302124,2.48601801560357,2.63878865497856,"directional migratory","partial directional migrant","","No island rule"
"Milá unpublished","ES38","CC14","Mexico","Guadalupe","Birds","Passeriformes","Fringillidae","Haemorhous mexicanus","Haemorhous mexicanus","Haemorhous mexicanus","PlantSeed",20.7083333358333,23.6273333333333,2.05003695566414,1.6650833365781,12,30,0.131868038065514,0.000982226835107917,-118.3266,29.1099,1.31614514707416,3.17897694729317,2.40824166177136,0.215285522460938,-1.52057840976834,17.5243759155273,2.36391805348703,2.15480120756627,"directional migratory","partial directional migrant","","No island rule"
"Milá unpublished","ES39","CC15","California","Guadalupe","Birds","Passeriformes","Emberizidae","Junco hyemalis","Junco oreganus thurberi","Junco insularis","PlantSeed",17.5940298537313,18.3872398190045,0.894751762815633,0.978916414598754,67,221,0.0440973043010224,5.14263501788522e-05,-118.3266,29.1099,1.24536532455074,3.17897694729317,2.40824166177136,0.215285522460938,-1.52057840976834,17.5243759155273,2.36391805348703,2.15480120756627,"directional migratory","partial directional migrant","","No island rule"
"Mees 1969","ES40","CC16","Mainland Australia","Ambrym","Birds","Passeriformes","Zosteropidae","Zosterops lateralis","Zosterops lateralis familiaris","Zosterops lateralis vatensis","Omnivore",11.7489450347169,15.7675056744611,0.291332225901068,0.237381052381728,45,6,0.294187767159075,5.14395555431303e-05,168.13,-16.244,1.06999887204007,2.83103748564003,3.25527274637795,0.69391220703125,-1.61544391246161,24.0275115966797,1.94740574029905,3.53214261849286,"dispersive migratory","partial dispersive migrant","","No island rule"
"Mees 1969","ES41","CC16","Mainland Australia","Epi","Birds","Passeriformes","Zosteropidae","Zosterops lateralis","Zosterops lateralis familiaris","Zosterops lateralis vatensis","Omnivore",11.7489450347169,15.0044382778334,0.291332225901068,0.397420926969431,45,2,0.244582590245812,0.000364441359760733,168.231,-16.731,1.06999887204007,2.64738297011462,3.26387291340899,0.85189306640625,-1.73048552378081,24.8894577026367,2.07104287788111,3.44098775147616,"dispersive migratory","partial dispersive migrant","","No island rule"
"Mees 1969","ES42","CC16","Mainland Australia","Erromanga","Birds","Passeriformes","Zosteropidae","Zosterops lateralis","Zosterops lateralis familiaris","Zosterops lateralis vatensis","Omnivore",11.7489450347169,15.9520869304626,0.291332225901068,0.478585742114833,45,10,0.305826210427152,0.000103672353712548,169.116,-18.812,1.06999887204007,2.9484129657786,3.25527274637795,0.84921142578125,-1.91448022302238,23.7999668121338,2.17731046917318,3.38168351735923,"dispersive migratory","partial dispersive migrant","","No island rule"
"Mees 1969","ES43","CC16","Mainland Australia","Espiritu Santo (Vanuatu)","Birds","Passeriformes","Zosteropidae","Zosterops lateralis","Zosterops lateralis familiaris","Zosterops flavifrons gauensis","Omnivore",11.7489450347169,11.0615864775241,0.291332225901068,0.252071679668837,45,9,-0.0602850236585381,7.13629812054921e-05,166.918,-15.339,1.06999887204007,3.59725628292514,3.25647744684797,0.83714169921875,-1.63748023379822,24.896390914917,1.8798968616065,3.49756727804715,"dispersive migratory","partial dispersive migrant","","No island rule"
"Mees 1969","ES44","CC16","Mainland Australia","Fiji","Birds","Passeriformes","Zosteropidae","Zosterops lateralis","Zosterops lateralis familiaris","Zosterops lateralis flaviceps","Omnivore",11.7489450347169,12.0817166827506,0.291332225901068,0.352625308714037,45,73,0.0279298396293859,2.53330058337661e-05,177.97,-17.796,1.06999887204007,4.01653194095727,3.41329993176249,0.73273017578125,-1.74651447710706,24.9796447753906,2.12780770938865,3.32211057623272,"dispersive migratory","partial dispersive migrant","","No island rule"
"Mees 1969","ES45","CC16","Mainland Australia","Fiji","Birds","Passeriformes","Zosteropidae","Zosterops lateralis","Zosterops lateralis familiaris","Zosterops explorator","Omnivore",11.7489450347169,11.9701626768613,0.291332225901068,0.273547651992535,45,17,0.0186536575786885,4.43833511256464e-05,177.97,-17.796,1.06999887204007,4.01653194095727,3.41329993176249,0.73273017578125,-1.74651447710706,24.9796447753906,2.12780770938865,3.32211057623272,"dispersive migratory","partial dispersive migrant","","No island rule"
