Reference,ID,CommonControl,Mainland,Island,Class,Order,Family,Binomial,Species_main,Species_island,guild,Mean_m,Mean_i,sd_m,sd_i,N_m,N_i,RR,var,Long_i,Lat_i,logmass,Island_km2,Dist_near_mainland,NDVI,SDNDVI,tmean,tseas,prec,SPID
O'Connell et al 2019,ES495,CC7,Sulawesi,Kabaena,Birds,Passeriformes,Zosteropidae,Zosterops chloris,Zosterops chloris,Zosterops chloris,Omnivore,11.26,11.2,0.615,0.592,105,35,-0.005342844,0.000108236,121.9179,-5.2525,1.051538391,2.954580163,1.262474821,0.795119482,-1.773345353,25.6643486,1.765847936,3.285995871,SP7
O'Connell et al 2019,ES496,CC8,Sulawesi,Kabaena,Birds,Passeriformes,Zosteropidae,Zosterops consobrinorum,Zosterops consobrinorum,Zosterops consobrinorum,Omnivore,8.91,10.91,0.485,0.863,48,23,0.202505558,0.000333776,121.9179,-5.2525,0.949877704,2.954580163,1.262474821,0.795119482,-1.773345353,25.6643486,1.765847936,3.285995871,SP8
O'Connell et al 2019,ES497,CC7,Sulawesi,Kaledupa,Birds,Passeriformes,Zosteropidae,Zosterops chloris,Zosterops chloris,Zosterops chloris flavissimus,Omnivore,11.26,9.78,0.615,0.638,105,83,-0.140917139,7.97E-05,123.7643,-5.5325,1.051538391,1.809559715,1.755882475,0.723245996,-1.722135825,27.56743813,1.75468001,3.239174304,SP7
Dietzen et al. 2008,ES498,CC13,Morocco,La Gomera,Birds,Passeriformes,Paridae,Cyanistes caeruleus,Parus caeruleus,Parus caeruleus,Omnivore,9.8,11.2,0.4,1,4,8,0.133531393,0.001412985,-17.227,28.124,0.991226076,2.567919928,2.523747767,0.562688477,-2.101386761,17.00667953,2.421387648,2.520679994,SP5
Milá unpublished,ES500,CC17,Spain,La Palma,Birds,Passeriformes,Fringillidae,Fringilla coelebs,Fringilla coelebs,Fringilla coelebs canariensis,Invertebrate,20.18,25.53,1.545,1.463,11,97,0.235162216,0.000566725,-17.8016,28.7899,1.304921162,2.850217242,2.618049143,0.587087695,-2.176290449,14.6963253,2.486018016,2.638788655,SP15
Dietzen et al. 2008,ES501,CC13,Morocco,Lanzarote,Birds,Passeriformes,Paridae,Cyanistes caeruleus,Parus caeruleus,Parus caeruleus,Omnivore,9.8,10.7,0.4,0.7,4,14,0.087861356,0.000722197,-13.667,29.012,0.991226076,2.927319025,2.103807141,0.132060974,-1.930026855,19.3087368,2.377278136,2.175395815,SP5
O'Connell et al 2019,ES502,CC7,Sulawesi,Lintea Selatan,Birds,Passeriformes,Zosteropidae,Zosterops chloris,Zosterops chloris,Zosterops chloris flavissimus,Omnivore,11.26,8.69,0.615,0.596,105,21,-0.259083683,0.000252403,123.9287,-5.812,1.051538391,0.950851459,1.014281065,0.619722412,-1.607134163,27.34660149,1.745316752,3.211061784,SP7
"Clegg, 2002",ES503,CC9,"Brisbane, Australia",Lord Howe Island,Birds,Passeriformes,Zosteropidae,Zosterops lateralis,Zosterops lateralis familiaris,Zosterops tephropleurus,Omnivore,10.22,12.41,0.9,0.93,29,34,0.194156014,0.000432589,159.082,-31.558,1.009450896,1.162862993,2.755875618,0.555617529,-1.555044568,19.15414238,2.389691664,3.202109434,SP9
Faaborg and Winters 1979,ES505,CC18,Puerto Rico,Mona,Birds,Columbiformes,Columbidae,Columbina passerina,Columbina passerina,Columbina passerina,Omnivore,35.4,28.5,2.5,2.4,66,218,-0.216807733,0.000108096,-67.896,18.0868,1.549003262,1.755874856,1.828021517,0.651172607,-1.810369813,26.18891525,2.088791918,3.006962084,SP16
Faaborg and Winters 1979,ES507,CC19,Puerto Rico,Mona,Birds,Passeriformes,Mimidae,Margarops fuscatus,Margarops fuscatus,Margarops fuscatus,FruiNect,100.7,100.2,8.4,8.4,28,283,-0.004977611,0.000273342,-67.896,18.0868,2.003029471,1.755874856,1.828021517,0.651172607,-1.810369813,26.18891525,2.088791918,3.006962084,SP6
Faaborg and Winters 1979,ES509,CC20,Puerto Rico,Mona,Birds,Columbiformes,Columbidae,Zenaida aurita,Zenaida aurita,Zenaida aurita,Omnivore,153,173.6,4.243,19.4,2,5,0.126315881,0.002882197,-67.896,18.0868,2.184691431,1.755874856,1.828021517,0.651172607,-1.810369813,26.18891525,2.088791918,3.006962084,SP17
"McLaughlin and Roughgarden 1989, Arendt and Arendt 1986",ES510,CC21,Puerto Rico,Montserrat,Birds,Passeriformes,Mimidae,Margarops fuscatus,Margarops fuscatus,Margarops fuscatus,FruiNect,100.7,102.7,8.4,8.7,28,82,0.019666317,0.000336024,-62.1929,16.7368,2.003029471,2.008600172,1.743517604,0.555911621,-1.813687856,26.23896027,2.04586878,3.188942552,SP6
O'Connell et al 2019,ES511,CC7,Sulawesi,Muna,Birds,Passeriformes,Zosteropidae,Zosterops chloris,Zosterops chloris,Zosterops chloris,Omnivore,11.26,10.27,0.615,0.567,105,19,-0.092029599,0.000188836,122.5139,-5.0388,1.051538391,3.460747542,1.046143841,0.779681543,-1.768594092,26.70387268,1.812544189,3.249499286,SP7
O'Connell et al 2019,ES512,CC8,Sulawesi,Muna,Birds,Passeriformes,Zosteropidae,Zosterops consobrinorum,Zosterops consobrinorum,Zosterops consobrinorum,Omnivore,8.91,8.45,0.485,0.501,48,31,-0.0530078,0.000175125,122.5139,-5.0388,0.949877704,3.460747542,1.046143841,0.779681543,-1.768594092,26.70387268,1.812544189,3.249499286,SP8
"Clegg, 2002",ES513,CC9,"Brisbane, Australia",New Zealand (North),Birds,Passeriformes,Zosteropidae,Zosterops lateralis,Zosterops lateralis familiaris,Zosterops lateralis lateralis,Omnivore,10.22,11.95,0.9,1.36,29,34,0.156384694,0.00064836,171.154,-43.382,1.009450896,5.177354664,3.217484207,0.554348096,-1.803140817,8.867570877,2.618282287,3.197528427,SP9
