Reference,ID,CommonControl,Mainland,Island,Class,Order,Family,Binomial,Species_main,Species_island,Mean_m,Mean_i,sd_m,sd_i,N_m,N_i,RR,var,Long_i,Lat_i,logmass,Island_km2,Dist_near_mainland,NDVI,SDNDVI,tmean,tseas,prec,SPID
Shaidani 2017,ES145,CC46,Maine (USA),Long island,Amphibians,Caudata,Plethodontidae,Plethodon cinereus,Plethodon cinereus,Plethodon cinereus,0.780204762,0.676,0.1,0.069829828,210,30,-0.143363325,0.000433915,-70.16,43.6878,-0.107791403,0.77815125,0.699056855,0.524057861,-1.390357985,7.87822628,2.921853296,3.059536933,SP33
Shaidani 2017,ES146,CC46,Maine (USA),Matinicus island,Amphibians,Caudata,Plethodontidae,Plethodon cinereus,Plethodon cinereus,Plethodon cinereus,0.780204762,1.1138,0.1,0.115053938,210,31,0.355976471,0.000422441,-69.892,43.8636,-0.107791403,0.511883361,1.361746718,0.643802393,-1.410803475,7.777070999,2.955648237,3.060897958,SP33
Shaidani 2017,ES147,CC46,Maine (USA),Monhegan Island,Amphibians,Caudata,Plethodontidae,Plethodon cinereus,Plethodon cinereus,Plethodon cinereus,0.780204762,0.8483,0.1,0.08762817,210,30,0.083677946,0.000433915,-69.312,43.7644,-0.107791403,0.397940009,1.230474467,0.60628335,-1.43466408,7.679550171,2.927947874,3.071024574,SP33
Shaidani 2017,ES148,CC46,Maine (USA),Mount Desert Island,Amphibians,Caudata,Plethodontidae,Plethodon cinereus,Plethodon cinereus,Plethodon cinereus,0.780204762,0.9268,0.1,0.095737107,210,19,0.172181392,0.000639838,-68.304,44.3875,-0.107791403,1,0.602168551,0.668637109,-1.416213758,7.055091381,2.950135857,3.124572677,SP33
Shaidani 2017,ES149,CC46,Maine (USA),Petit Manan Island,Amphibians,Caudata,Plethodontidae,Plethodon cinereus,Plethodon cinereus,Plethodon cinereus,0.780204762,1.9231,0.1,0.198653465,210,37,0.902137346,0.000366623,-67.8656,44.3674,-0.107791403,-1.397940009,0.602168551,0.534972949,-1.378034134,6.832291603,2.892637661,3.123851641,SP33
Shaidani 2017,ES150,CC46,Maine (USA),Placentia Island,Amphibians,Caudata,Plethodontidae,Plethodon cinereus,Plethodon cinereus,Plethodon cinereus,0.780204762,0.9662,0.1,0.099807071,210,27,0.213814452,0.000473435,-68.3648,44.1917,-0.107791403,0.301029996,0.602168551,0.634165918,-1.441205143,6.936544418,2.908243736,3.124328111,SP33
Shaidani 2017,ES151,CC46,Maine (USA),Western Brothers Island,Amphibians,Caudata,Plethodontidae,Plethodon cinereus,Plethodon cinereus,Plethodon cinereus,0.780204762,1.464,0.1,0.151229095,210,31,0.629371294,0.000422441,-69.241,43.912,-0.107791403,-1.301029996,0.699056855,0.638348242,-1.461508833,7.434295654,2.923122663,3.074212826,SP33
Wang et al. 2009,ES152,CC47,China (Zhejiang province),Fodu,Amphibians,Anura,Ranidae,Pelophylax nigromaculatus,Rana nigromaculata,Rana nigromaculata,45.08617226,61.9041687,1.411820234,1.908769593,24,24,0.317011925,8.05E-05,122.018,29.736,1.654043366,0.84509804,0.845160078,0.391640259,-2.038779132,16.55605888,2.897046665,3.100491157,SP34
Wang et al. 2009,ES153,CC47,China (Zhejiang province),Liuheng,Amphibians,Anura,Ranidae,Pelophylax nigromaculatus,Rana nigromaculata,Rana nigromaculata,45.08617226,40.24654888,1.411820234,1.466083848,24,21,-0.11355134,0.000104045,122.147,29.708,1.654043366,1.967313918,0.845160078,0.356069629,-1.885556739,16.60105515,2.893297621,3.101575246,SP34
Wang et al. 2009,ES154,CC47,China (Zhejiang province),Mayi,Amphibians,Anura,Ranidae,Pelophylax nigromaculatus,Rana nigromaculata,Rana nigromaculata,45.08617226,88.33273183,1.411820234,1.983890664,24,18,0.67253513,6.89E-05,122.258,29.871,1.654043366,0.84509804,0.845160078,0.361122217,-1.896580491,16.54825211,2.890625387,3.101231387,SP34
Wang et al. 2009,ES155,CC47,China (Zhejiang province),Meishan,Amphibians,Anura,Ranidae,Pelophylax nigromaculatus,Rana nigromaculata,Rana nigromaculata,45.08617226,72.70261096,1.411820234,1.994099161,24,10,0.4778017,0.000116087,121.99,29.792,1.654043366,1.339650158,-0.300162274,0.375350049,-1.952067882,16.41152191,2.902648417,3.105680463,SP34
Wang et al. 2009,ES156,CC47,China (Zhejiang province),Taohua,Amphibians,Anura,Ranidae,Pelophylax nigromaculatus,Rana nigromaculata,Rana nigromaculata,45.08617226,75.14285356,1.411820234,2.103504957,24,19,0.510815418,8.21E-05,122.232,29.818,1.654043366,1.612783857,0.944532021,0.361122217,-1.896580491,16.54825211,2.890625387,3.101231387,SP34
Wang et al. 2009,ES157,CC47,China (Zhejiang province),Xiashi,Amphibians,Anura,Ranidae,Pelophylax nigromaculatus,Rana nigromaculata,Rana nigromaculata,45.08617226,80.1331987,1.411820234,1.998703339,24,19,0.575114636,7.36E-05,122.26,29.743,1.654043366,1.222716471,1.120606831,0.354645044,-1.758850527,16.4318161,2.884774731,3.101832962,SP34
Wang et al. 2009,ES158,CC47,China (Zhejiang province),Xiushan,Amphibians,Anura,Ranidae,Pelophylax nigromaculatus,Rana nigromaculata,Rana nigromaculata,45.08617226,90.00658767,1.411820234,2.422828954,24,10,0.691307266,0.000113316,122.164,30.173,1.654043366,1.361727836,1.736404471,0.381020068,-1.924860695,16.4867878,2.899749455,3.083570676,SP34
Wang et al. 2009,ES159,CC47,China (Zhejiang province),Zhoushan,Amphibians,Anura,Ranidae,Pelophylax nigromaculatus,Rana nigromaculata,Rana nigromaculata,45.08617226,41.32408779,1.411820234,1.251720694,24,33,-0.087130028,6.87E-05,122.121,30.059,1.654043366,2.670894954,0.954290762,0.478612109,-1.93870371,16.4111042,2.902087055,3.102097398,SP34
Inger et al 2009,ES160,CC48,Malaysia,Borneo,Amphibians,Anura,Ranidae,Hylarana chalconota,Rana chalconota,Rana raniceps,4.514444512,3.148772635,0.274193104,0.241520737,32,38,-0.36026941,0.000270106,114,1,0.654604319,5.871181661,2.716004179,0.799609277,-1.552297019,25.05965996,1.379912622,3.595503407,SP35
Inger et al 2009,ES161,CC48,Malaysia,Borneo,Amphibians,Anura,Ranidae,Hylarana chalconota,Rana chalconota,Rana megalonesa,4.514444512,9.091264871,0.274193104,0.835805098,32,228,0.700031901,0.00015235,114,1,0.654604319,5.871181661,2.716004179,0.799609277,-1.552297019,25.05965996,1.379912622,3.595503407,SP35
Inger et al 2009,ES162,CC48,Malaysia,Java,Amphibians,Anura,Ranidae,Hylarana chalconota,Rana chalconota,Rana chalconota,4.514444512,11.39287384,0.274193104,0.963915096,32,69,0.925705911,0.000219024,107.5667,-6.95,0.654604319,5.142369441,2.531480194,0.578037842,-1.531484282,25.15303802,1.576119383,3.320565633,SP35
Inger et al 2009,ES163,CC48,Malaysia,Sumatra,Amphibians,Anura,Ranidae,Hylarana chalconota,Rana chalconota,Rana parvaccola,4.514444512,4.099445916,0.274193104,0.29754669,32,28,-0.096430325,0.000303429,101.6,-0.4,0.654604319,5.675418113,1.826081285,0.775979541,-1.333594233,25.93057442,1.519437698,3.392263564,SP35
Inger et al 2009,ES164,CC48,Malaysia,Sumatra,Amphibians,Anura,Ranidae,Hylarana chalconota,Rana chalconota,Rana rufipes,4.514444512,14.39834798,0.274193104,0.7303825,32,14,1.159831329,0.000299081,101.6,-0.4,0.654604319,5.675418113,1.826081285,0.775979541,-1.333594233,25.93057442,1.519437698,3.392263564,SP35
"Pafilis et al. 2019, Baskale et al. 2018",ES165,CC49,Turkey,Karpathos,Amphibians,Anura,Ranidae,Pelophylax bedriagae,Pelophylax bedriagae,Pelophylax cerigensis,38.625,9.416,17.4,5.268,161,76,-1.411489365,0.005379036,27.146,35.542,1.586868492,2.510679031,1.974055513,0.398436255,-1.973402268,17.78495979,2.736498628,2.827956965,SP36
Valenzuela-Sanchez et al. 2015,ES166,CC50,Chile,Chiloe,Amphibians,Anura,Rhinodermatidae,Rhinoderma darwinii,Rhinoderma darwinii,Rhinoderma darwinii,1.350456598,1.516230524,0.134688224,0.172978577,706,305,0.11578458,5.68E-05,-73.75,-43.3333,0.130480631,3.923968965,0.361916619,0.748025977,-1.705128954,9.535158157,2.447839253,3.384797388,SP37
Cordero-Rivera et al 2007,ES167,CC51,Spain (Galicia),Ons ,Amphibians,Caudata,Salamandridae,Lissotriton boscai,Lissotriton boscai,Lissotriton boscai,1.66889242,1.320752164,0.073752936,0.079334813,24,108,-0.23395879,0.000114784,-8.938,42.377,0.222428342,3.649140064,0.544192111,0.629724463,-1.959313584,13.96859837,2.576340788,3.207894497,SP38
Cordero-Rivera et al 2007,ES168,CC51,Spain (Galicia),Sálvora ,Amphibians,Caudata,Salamandridae,Lissotriton boscai,Lissotriton boscai,Lissotriton boscai,1.66889242,1.306494633,0.073752936,0.085809869,24,7,-0.244812487,0.000697631,-9.011,42.473,0.222428342,0.278753601,0.602168551,0.462522461,-1.407432047,14.75833321,2.479470674,3.104487111,SP38
Altuni?ik et al. 2014,ES169,CC52,Çanakkale (Turkey),Bozcaada (Tenedos) Island,Amphibians,Caudata,Salamandridae,Lissotriton vulgaris,Lissotriton vulgaris,Lissotriton vulgaris,0.896567556,0.783404258,0.043108551,0.040182661,20,17,-0.13492479,0.000270352,26.039,39.8261,-0.047416981,1.575187845,0.856245401,0.415542383,-1.851488323,15.75188923,2.810613136,2.749682213,SP39
Altuni?ik et al. 2014,ES170,CC52,Çanakkale (Turkey),Bozcaada (Tenedos) Island,Amphibians,Caudata,Salamandridae,Lissotriton vulgaris,Lissotriton vulgaris,Lissotriton vulgaris,1.855,1.495,0.276,0.33,20,17,-0.215758489,0.003973014,26.039,39.8261,0.268343914,1.575187845,0.856245401,0.415542383,-1.851488323,15.75188923,2.810613136,2.749682213,SP39
Cordero-Rivera et al 2007,ES171,CC53,Spain (Galicia),Ons ,Amphibians,Caudata,Salamandridae,Salamandra salamandra,Salamandra salamandra,Salamandra salamandra,27.916,23.1,7.193,7.821,105,111,-0.189367384,0.00166501,-8.938,42.377,1.44585319,3.649140064,0.544192111,0.629724463,-1.959313584,13.96859837,2.576340788,3.207894497,SP40
Cordero-Rivera et al 2007,ES172,CC53,Spain (Galicia),San Martiño,Amphibians,Caudata,Salamandridae,Salamandra salamandra,Salamandra salamandra,Salamandra salamandra,27.916,11.6,7.188,2.781,106,20,-0.878194903,0.003499263,-8.904,42.1969,1.44585319,0.176091259,0.778223627,0.565661279,-1.777878881,14.21249962,2.520978772,3.185870665,SP40
Velo-Anton and Cordero-Rivera 2017,ES173,CC54,Spain (Galicia),Ons ,Amphibians,Caudata,Salamandridae,Salamandra salamandra,Salamandra salamandra,Salamandra salamandra,27.998,24.2,9.28,7.918,262,170,-0.145780446,0.001049041,-8.938,42.377,1.447127009,3.649140064,0.544192111,0.629724463,-1.959313584,13.96859837,2.576340788,3.207894497,SP40
Velo-Anton and Cordero-Rivera 2017,ES174,CC54,Spain (Galicia),San Martiño,Amphibians,Caudata,Salamandridae,Salamandra salamandra,Salamandra salamandra,Salamandra salamandra,27.998,15.15,9.28,5.07,262,131,-0.614132547,0.001274223,-8.904,42.1969,1.447127009,0.176091259,0.778223627,0.565661279,-1.777878881,14.21249962,2.520978772,3.185870665,SP40
