IOC3_1_Binomial,SpeciesID,IOC3_1_Order,IOC3_1_Family,IOC3_1_Genus,IOC3_1_Species,Taxonomic_Comments,Extinct_full,Extinct_partial,Marine_full,Marine_partial,Migr_dir_full,Migr_dir_partial,Migr_dir_local,Migr_disp_full,Migr_disp_partial,Migr_disp_local,Migr_altitudinal,Irruptive,Nomad_full,Nomad_partial,Nomad_local,Resid_full,Resid_partial,Unknown,Uncertain,Migratory_status_Comments,Triplechecked,Migratory_status,Migratory_status_2,Migratory_status_3
Megapodius_freycinet,76,GALLIFORMES,Megapodiidae,Megapodius,freycinet,"in HBW Megapodius_freycinet includes race geelvinkianus, in HBW online includes forsteni",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"few data available, presumably sedentary",1,resident,full resident,full resident
Megapodius_forsteni,77,GALLIFORMES,Megapodiidae,Megapodius,forsteni,"in HBW forstenii is race of Megapodius_reinwardt, but it is included in Megapodius_freycinet in HBW online",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,presumably sedentary (text on reinwardt in HBW),1,resident,full resident,full resident
Megapodius_geelvinkianus,78,GALLIFORMES,Megapodiidae,Megapodius,geelvinkianus,in HBW geelvinkianus is race of Megapodius_freycinet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,presumably sedentary (text on freycinet in HBW),1,resident,full resident,full resident
Megapodius_eremita,79,GALLIFORMES,Megapodiidae,Megapodius,eremita,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,partly dispersive in one area and may move mostly to coast (New Britain),1,resident,full resident,full resident
Megapodius_layardi,80,GALLIFORMES,Megapodiidae,Megapodius,layardi,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,resident,full resident,full resident
Megapodius_decollatus,81,GALLIFORMES,Megapodiidae,Megapodius,decollatus,HBW: Megapodius_affinis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"no information, presumably sedentary",0,resident,full resident,full resident
Megapodius_reinwardt,82,GALLIFORMES,Megapodiidae,Megapodius,reinwardt,in HBW Megapodius_reinwardt includes races tenimberensis and forstenii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,resident,full resident,full resident
Ortalis_vetula,83,GALLIFORMES,Cracidae,Ortalis,vetula,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,resident,full resident,full resident
Ortalis_cinereiceps,84,GALLIFORMES,Cracidae,Ortalis,cinereiceps,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,presumably sedentary,0,resident,full resident,full resident
Ortalis_garrula,85,GALLIFORMES,Cracidae,Ortalis,garrula,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"no information, presumably sedentary",0,resident,full resident,full resident
