Reference,ID,CommonControl,Mainland,Island,Class,Order,Family,Binomial,Species_main,Species_island,guild,Mean_m,Mean_i,sd_m,sd_i,N_m,N_i,RR,var,Long_i,Lat_i,logmass,Island_km2,Dist_near_mainland,NDVI,SDNDVI,tmean,tseas,prec,SPID
"Harding 2010, Napier 1985",ES77,CC30,Borneo,Natuna,Mammals,Primata,Cercopithecidae,Trachypithecus cristatus,Trachypithecus cristatus cristatus,Trachypithecus cristatus vigilans,Herb,3053.302117,2251.742169,239.3989487,127.3791244,2,2,-0.304519453,0.004673829,108.2022,3.9098,3.484769779,3.235528447,2.361729724,0.665919434,-1.607906505,27.05906487,1.861500482,3.373213766,SP15
Fooden et al 1993,ES81,CC31,Mainland Asia (SE Asia),Ba,Mammals,Primata,Cercopithecidae,Macaca fascicularis,Macaca fascicularis,Macaca fascicularis,Omn,6529.922065,6990.365116,281.0434359,56.84982017,59,3,0.068137781,5.34E-05,106.5591,8.6457,3.814907998,1.939519253,-1.040958608,0.631412256,-1.647164746,26.62419128,2.013455073,3.315241721,SP16
Fooden et al 1993,ES82,CC32,Borneo,Balabac,Mammals,Primata,Cercopithecidae,Macaca fascicularis,Macaca fascicularis,Macaca fascicularis,Omn,7335.691553,7610.646247,269.5786053,37.30067378,59,2,0.036796401,3.49E-05,117.02,7.95,3.865441062,2.485721426,-0.096367484,0.787592822,-1.904579302,27.06871605,1.776082772,3.29202556,SP16
Fooden et al 1993,ES83,CC33,Java,Bali,Mammals,Primata,Cercopithecidae,Macaca fascicularis,Macaca fascicularis,Macaca fascicularis,Omn,7465.667565,6740.076713,297.4665508,402.5114244,70,12,-0.102243546,0.000319878,115.155,-8.274,3.873068648,3.749736316,0.398113692,0.707589551,-1.712758391,23.32167435,1.790139103,3.321917411,SP16
Fooden et al 1993,ES85,CC32,Borneo,Banggi,Mammals,Primata,Cercopithecidae,Macaca fascicularis,Macaca fascicularis,Macaca fascicularis,Omn,5860.417936,7671.105008,199.9852395,316.4495291,122,3,0.269239753,0.000576792,117.18,7.27,3.767928589,2.644438589,1.086395427,0.817746094,-1.637845406,27.25433731,1.76274521,3.354780499,SP16
Fooden et al 1993,ES86,CC34,Sumatra,Bangka,Mammals,Primata,Cercopithecidae,Macaca fascicularis,Macaca fascicularis,Macaca fascicularis,Omn,5962.627387,5402.225286,186.1222118,166.2942258,79,109,-0.098700262,2.10E-05,106.06,-2.25,3.775437671,4.05422991,1.07191881,0.623780469,-1.521194565,26.75313377,1.489478945,3.424967488,SP16
Fooden et al 1993,ES88,CC31,Mainland Asia (SE Asia),Batam,Mammals,Primata,Cercopithecidae,Macaca fascicularis,Macaca fascicularis,Macaca fascicularis,Omn,5252.900556,4168.486222,263.575083,111.1887015,33,2,-0.231227457,0.000432037,104.0305,1.0828,3.720399179,2.672097858,1.143046043,0.561722314,-1.766855219,26.9011879,1.57632901,3.367821652,SP16
Fooden et al 1993,ES89,CC33,Java,Bawean,Mammals,Primata,Cercopithecidae,Macaca fascicularis,Macaca fascicularis,Macaca fascicularis,Omn,7465.667565,7510.597171,297.4665508,239.3921775,70,5,0.006000126,0.000225869,112.6667,-5.766,3.873068648,2.2929203,2.036632887,0.670400879,-1.55704905,26.76971245,1.616090299,3.301116851,SP16
Fooden et al 1993,ES94,CC31,Mainland Asia (SE Asia),Bintan,Mammals,Primata,Cercopithecidae,Macaca fascicularis,Macaca fascicularis,Macaca fascicularis,Omn,6529.922065,4612.793176,281.0434359,201.1225444,59,9,-0.34756144,0.000242624,104.5003,1.076,3.814907998,3.069298012,1.322239975,0.58124502,-1.737796853,26.94791031,1.616074178,3.392021019,SP16
Fooden et al 1993,ES95,CC35,Mindanao,Bohol,Mammals,Primata,Cercopithecidae,Macaca fascicularis,Macaca fascicularis,Macaca fascicularis,Omn,6986.569973,7560.510097,266.7874605,125.8021973,51,7,0.07894893,6.81E-05,124.209,9.875,3.844264013,3.514414921,1.93399822,0.744827197,-1.544095957,26.72619247,1.912685953,3.268002544,SP16
Fooden et al 1993,ES96,CC31,Mainland Asia (SE Asia),Borneo,Mammals,Primata,Cercopithecidae,Macaca fascicularis,Macaca fascicularis,Macaca fascicularis,Omn,6529.922065,5860.417936,281.0434359,199.9852395,59,122,-0.108174087,4.09E-05,114,1,3.814907998,5.871131412,2.716004179,0.799609277,-1.552297019,25.05965996,1.379912622,3.595503407,SP16
Fooden et al 1993,ES97,CC31,Mainland Asia (SE Asia),Bulan,Mammals,Primata,Cercopithecidae,Macaca fascicularis,Macaca fascicularis,Macaca fascicularis,Omn,6529.922065,6053.966828,281.0434359,511.5728153,59,2,-0.075681277,0.003601697,103.905,0.9755,3.814907998,2,1.626350634,0.645913867,-1.655750841,26.92227936,1.5682991,3.357275293,SP16
Fooden et al 1993,ES102,CC31,Mainland Asia (SE Asia),Con Son,Mammals,Primata,Cercopithecidae,Macaca fascicularis,Macaca fascicularis,Macaca fascicularis,Omn,6529.922065,6889.322964,281.0434359,275.3526365,59,5,0.053577808,0.000350885,106.607,8.705,3.814907998,1.707570176,1.929424035,0.629983643,-1.78125514,26.88209915,2.005701262,3.301008286,SP16
