"Reference","Mainland","Island","Class","Order","Family","Binomial","Species_main","Species_island","Diet","Sex","Measure","Mean_m","Mean_i","sd_m","sd_i","N_m","N_i","Mean_m_male","Mean_m_female","sd_m_male","sd_m_female","N_m_male","N_m_female","Mean_i_male","Mean_i_female","sd_i_male","sd_i_female","N_i_male","N_i_female","Long_i","Lat_i","Island_km2","Dist_near_mainland","Archipielago","Allometry","Phylogeny","Data_source_type","Paired","NDVI_0.1","SDNDVI_0.1","tmean_0.1","tseas_0.1","prec_0.1","NDVI_0.5","SDNDVI_0.5","tmean_0.5","tseas_0.5","prec_0.5","NDVI_1","SDNDVI_1","tmean_1","tseas_1","prec_1","NDVI","SDNDVI","tmean","tseas","prec","pseas","Mean_m_pooled","Mean_i_pooled","sd_m_combined","sd_i_combined"
"Pigot et al. 2020","France","Great Britain","Birds","Accipitriformes","Accipitridae","Accipiter nisus","Accipiter nisus","Accipiter nisus","VertFishScav","Male","Wing Length",196,197.25,11.747,2.5,4,4,196,NA,11.74734012,NA,4,NA,197.25,NA,2.5,NA,4,NA,-1.6,53.186,5.32083354792103,1.51189672368043,"No","log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","Yes",0.70851728515625,0.0100590873718262,8.6027193069458,458.609802246094,924.989990234375,0.698322265625,0.0152482360839844,8.20084476470947,450.851409912109,1063.94519042969,0.63427998046875,0.0128780807495117,8.82350254058838,455.934753417969,854.721130371094,0.63427998046875,-1.85767058989911,8.82350254058838,2.65890269736187,2.93182444069733,NA,196,197.25,11.747,2.5
"Pigot et al. 2020","Australia","New Guinea","Birds","Accipitriformes","Accipitridae","Accipiter novaehollandiae","Accipiter novaehollandiae","Accipiter novaehollandiae","","Female","Tarsus Length",75.16,65.83,2.166,0.537,3,2,NA,75.16,NA,2.165825478,NA,3,NA,65.83,NA,0.537401154,NA,2,141.814,-5.752,5.89528604782638,2.18469426933435,"No","log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Conspecific","No island rule","Yes",0.7913337890625,0.0374270416259766,26.4234008789062,72.2477188110352,4836.5,0.779418603515625,0.0392946105957031,25.7510147094727,69.9688415527344,4882.904296875,0.770036767578125,0.0354534576416016,22.6774826049805,57.5012283325195,5058.26708984375,0.770036767578125,-1.43826127218963,22.6774826049805,1.75967712212158,3.70400175750796,NA,75.16,65.83,2.166,0.537
"Pigot et al. 2020","Australia","New Guinea","Birds","Accipitriformes","Accipitridae","Accipiter novaehollandiae","Accipiter novaehollandiae","Accipiter novaehollandiae","VertFishScav","Female","Wing Length",294.333,243.5,7.506,4.95,3,2,NA,294.3333333,NA,7.505553499,NA,3,NA,243.5,NA,4.949747468,NA,2,141.814,-5.752,5.89528604782638,2.18469426933435,"No","log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","Yes",0.7913337890625,0.0374270416259766,26.4234008789062,72.2477188110352,4836.5,0.779418603515625,0.0392946105957031,25.7510147094727,69.9688415527344,4882.904296875,0.770036767578125,0.0354534576416016,22.6774826049805,57.5012283325195,5058.26708984375,0.770036767578125,-1.43826127218963,22.6774826049805,1.75967712212158,3.70400175750796,NA,294.333,243.5,7.506,4.95
"Olsen et al. 1990, Marchant and Higgins 1993","Australia","Tasmania","Birds","Falconiformes","Accipitridae","Accipiter novaehollandiae","Accipiter novaehollandiae","Accipiter novaehollandiae","","Both","Weight",606.25,551.428571428571,197.424922438886,192.093340406614,16,14,356,720,76,103,5,11,415,797,20.4,42.8,9,5,146.5,-42.1,4.80317698254222,2.38021305126818,"No","Weight","Conspecific","No island rule","No",0.655225146484375,0.00678854064941406,7.75988245010376,351.682373046875,1121.66003417969,0.6280126953125,0.0134871017456055,8.81951236724854,360.283264160156,882.468811035156,0.698959326171875,0.0104175621032715,8.77623271942139,327.989532470703,1452.6142578125,0.698959326171875,-1.94242661746699,8.77623271942139,2.51585998376426,3.16215030256729,NA,606.25,551.428571428571,197.424922438886,192.093340406614
"Pigot et al. 2020","India","Sri Lanka","Birds","Accipitriformes","Accipitridae","Accipiter trivirgatus","Accipiter trivirgatus","Accipiter trivirgatus","","Female","Tarsus Length",59.47,57.618,3.801,4.563,4,4,NA,59.47,NA,3.800675379,NA,4,NA,57.6175,NA,4.563444423,NA,4,80.714,7.74,4.8169700377573,1.95424733490676,"No","log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Conspecific","No island rule","Yes",0.75954453125,0.0147126647949219,26.4967594146729,146.125701904297,1768.75,0.732277978515625,0.0137956802368164,26.5609512329102,136.111114501953,1772.21203613281,0.73955419921875,0.0143727523803711,25.914306640625,103.359786987305,2077.4638671875,0.73955419921875,-1.81324836824573,25.914306640625,2.01435160562069,3.3175334789459,NA,59.47,57.618,3.801,4.563
"Pigot et al. 2020","India","Sri Lanka","Birds","Accipitriformes","Accipitridae","Accipiter trivirgatus","Accipiter trivirgatus","Accipiter trivirgatus","VertFishScav","Female","Wing Length",239.75,198.25,23.472,7.632,4,4,NA,239.75,NA,23.47161406,NA,4,NA,198.25,NA,7.632168761,NA,4,80.714,7.74,4.8169700377573,1.95424733490676,"No","log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","Yes",0.75954453125,0.0147126647949219,26.4967594146729,146.125701904297,1768.75,0.732277978515625,0.0137956802368164,26.5609512329102,136.111114501953,1772.21203613281,0.73955419921875,0.0143727523803711,25.914306640625,103.359786987305,2077.4638671875,0.73955419921875,-1.81324836824573,25.914306640625,2.01435160562069,3.3175334789459,NA,239.75,198.25,23.472,7.632
"Pigot et al. 2020","India","Sri Lanka","Birds","Accipitriformes","Accipitridae","Accipiter virgatus","Accipiter virgatus","Accipiter virgatus","","Female","Tarsus Length",57.258,52.46,3.228,3.816,4,4,NA,57.2575,NA,3.227923739,NA,4,NA,52.46,NA,3.815625768,NA,4,80.714,7.74,4.8169700377573,1.95424733490676,"No","log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Conspecific","No island rule","Yes",0.75954453125,0.0147126647949219,26.4967594146729,146.125701904297,1768.75,0.732277978515625,0.0137956802368164,26.5609512329102,136.111114501953,1772.21203613281,0.73955419921875,0.0143727523803711,25.914306640625,103.359786987305,2077.4638671875,0.73955419921875,-1.81324836824573,25.914306640625,2.01435160562069,3.3175334789459,NA,57.258,52.46,3.228,3.816
"Pigot et al. 2020","India","Sri Lanka","Birds","Accipitriformes","Accipitridae","Accipiter virgatus","Accipiter virgatus","Accipiter virgatus","VertFishScav","Female","Wing Length",192.25,163,12.738,17.814,4,4,NA,192.25,NA,12.7377392,NA,4,NA,163,NA,17.81385229,NA,4,80.714,7.74,4.8169700377573,1.95424733490676,"No","log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","Yes",0.75954453125,0.0147126647949219,26.4967594146729,146.125701904297,1768.75,0.732277978515625,0.0137956802368164,26.5609512329102,136.111114501953,1772.21203613281,0.73955419921875,0.0143727523803711,25.914306640625,103.359786987305,2077.4638671875,0.73955419921875,-1.81324836824573,25.914306640625,2.01435160562069,3.3175334789459,NA,192.25,163,12.738,17.814
"Pigot et al. 2020","China","Hainan","Birds","Passeriformes","Sturnidae","Acridotheres cristatellus","Acridotheres cristatellus","Acridotheres cristatellus","","Male","Tarsus Length",38.908,37.673,0.917,2.48,4,3,38.9075,NA,0.916637878,NA,4,NA,37.67333333,NA,2.479542969,NA,3,NA,109.842,19.229,4.51719589794997,1.23047446736116,"No","log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Conspecific","No island rule","Yes",0.7411548828125,0.0448942443847656,23.9096126556396,364.738250732422,1695.34997558594,0.753562060546875,0.0406520629882813,23.5961990356445,372.120269775391,1676.95324707031,0.67702998046875,0.0319391418457031,23.9309253692627,391.678314208984,1594.85705566406,0.67702998046875,-1.48228771957217,23.9309253692627,2.59292952692165,3.20272176405885,NA,38.908,37.673,0.917,2.48
"Pigot et al. 2020","China","Hainan","Birds","Passeriformes","Sturnidae","Acridotheres cristatellus","Acridotheres cristatellus","Acridotheres cristatellus","Omnivore","Male","Wing Length",134,135,3.266,8.185,4,3,134,NA,3.265986324,NA,4,NA,135,NA,8.185352772,NA,3,NA,109.842,19.229,4.51719589794997,1.23047446736116,"No","log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","Yes",0.7411548828125,0.0448942443847656,23.9096126556396,364.738250732422,1695.34997558594,0.753562060546875,0.0406520629882813,23.5961990356445,372.120269775391,1676.95324707031,0.67702998046875,0.0319391418457031,23.9309253692627,391.678314208984,1594.85705566406,0.67702998046875,-1.48228771957217,23.9309253692627,2.59292952692165,3.20272176405885,NA,134,135,3.266,8.185
