"Reference","Mainland","Island","Class","Order","Family","Binomial","Species_main","Species_island","Diet","Sex","Measure","Mean_m","Mean_i","sd_m","sd_i","N_m","N_i","Mean_m_male","Mean_m_female","sd_m_male","sd_m_female","N_m_male","N_m_female","Mean_i_male","Mean_i_female","sd_i_male","sd_i_female","N_i_male","N_i_female","Long_i","Lat_i","Island_km2","Dist_near_mainland","Archipielago","Allometry","Phylogeny","Data_source_type","Paired","NDVI_0.1","SDNDVI_0.1","tmean_0.1","tseas_0.1","prec_0.1","NDVI_0.5","SDNDVI_0.5","tmean_0.5","tseas_0.5","prec_0.5","NDVI_1","SDNDVI_1","tmean_1","tseas_1","prec_1","NDVI","SDNDVI","tmean","tseas","prec","pseas","Mean_m_pooled","Mean_i_pooled","sd_m_combined","sd_i_combined"
"Millien and Damuth 2004","Kisuki-Cho","Sado","Mammals","Rodentia","Muridae","Apodemus speciosus","Apodemus speciosus","Apodemus speciosus","","Unsexed","antero-posterior diameter of the lower incisor",1.16,1.29,0.15,0.09,15,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138.3667,38.0167,2.9329808219232,1.49970082589721,"No","ln(BW,g) = Ln(3.19) + 2.58*(ln(Anteposterior incisor,mm), r=  0.93, P < 0.0001, N =51, (Millien-Parra, 2000).","Conspecific","Island rule","Yes",0.593525537109375,0.0255849197387695,12.505521774292,829.703308105469,2263.25,0.58422958984375,0.0499451629638672,12.1483850479126,818.051635742188,2243.07592773438,0.576266943359375,0.0442838958740234,12.2642698287964,818.095336914062,2231.28466796875,0.593525537109375,-1.57536464650505,12.505521774292,2.91892282166791,3.35473252904253,NA,1.16,1.29,0.15,0.09
"Millien and Damuth 2004","Mount Fuji (Honshu)","Sado","Mammals","Rodentia","Muridae","Apodemus speciosus","Apodemus speciosus","Apodemus speciosus","","Unsexed","antero-posterior diameter of the lower incisor",1.16,1.29,0.13,0.09,13,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138.3667,38.0167,2.9329808219232,1.49970082589721,"No","ln(BW,g) = Ln(3.19) + 2.58*(ln(Anteposterior incisor,mm), r=  0.93, P < 0.0001, N =51, (Millien-Parra, 2000).","Conspecific","Island rule","Yes",0.593525537109375,0.0255849197387695,12.505521774292,829.703308105469,2263.25,0.58422958984375,0.0499451629638672,12.1483850479126,818.051635742188,2243.07592773438,0.576266943359375,0.0442838958740234,12.2642698287964,818.095336914062,2231.28466796875,0.593525537109375,-1.57536464650505,12.505521774292,2.91892282166791,3.35473252904253,NA,1.16,1.29,0.13,0.09
"Millien and Damuth 2004","Mount Hayachine (Honshu)","Sado","Mammals","Rodentia","Muridae","Apodemus speciosus","Apodemus speciosus","Apodemus speciosus","","Unsexed","antero-posterior diameter of the lower incisor",1.2,1.29,0.13,0.09,7,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138.3667,38.0167,2.9329808219232,1.49970082589721,"No","ln(BW,g) = Ln(3.19) + 2.58*(ln(Anteposterior incisor,mm), r=  0.93, P < 0.0001, N =51, (Millien-Parra, 2000).","Conspecific","Island rule","Yes",0.593525537109375,0.0255849197387695,12.505521774292,829.703308105469,2263.25,0.58422958984375,0.0499451629638672,12.1483850479126,818.051635742188,2243.07592773438,0.576266943359375,0.0442838958740234,12.2642698287964,818.095336914062,2231.28466796875,0.593525537109375,-1.57536464650505,12.505521774292,2.91892282166791,3.35473252904253,NA,1.2,1.29,0.13,0.09
"Millien and Damuth 2004","Nikko (Honshu)","Sado","Mammals","Rodentia","Muridae","Apodemus speciosus","Apodemus speciosus","Apodemus speciosus","","Unsexed","antero-posterior diameter of the lower incisor",1.28,1.29,0.07,0.09,5,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138.3667,38.0167,2.9329808219232,1.49970082589721,"No","ln(BW,g) = Ln(3.19) + 2.58*(ln(Anteposterior incisor,mm), r=  0.93, P < 0.0001, N =51, (Millien-Parra, 2000).","Conspecific","Island rule","Yes",0.593525537109375,0.0255849197387695,12.505521774292,829.703308105469,2263.25,0.58422958984375,0.0499451629638672,12.1483850479126,818.051635742188,2243.07592773438,0.576266943359375,0.0442838958740234,12.2642698287964,818.095336914062,2231.28466796875,0.593525537109375,-1.57536464650505,12.505521774292,2.91892282166791,3.35473252904253,NA,1.28,1.29,0.07,0.09
"Motokawa 2003","Aomori, Fukushima, Kanto, Chubu, and Kyoto (Honshu)","Sado","Mammals","Eulipotyphla","Soricidae","Crocidura dsinezumi","Crocidura dsinezumi","Crocidura dsinezumi","","Unknown","Skull",18.445,18.91,0.53,0.74,165,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138.3667,38.0167,2.9329808219232,1.49970082589721,"No","log10(mass,g) = -2.8722  +3.1651*log10(Skull mm), r2 = 0.9801, own model, All species","Conspecific","No island rule","No",0.593525537109375,0.0255849197387695,12.505521774292,829.703308105469,2263.25,0.58422958984375,0.0499451629638672,12.1483850479126,818.051635742188,2243.07592773438,0.576266943359375,0.0442838958740234,12.2642698287964,818.095336914062,2231.28466796875,0.593525537109375,-1.57536464650505,12.505521774292,2.91892282166791,3.35473252904253,NA,18.445,18.91,0.53,0.74
"Meiri et al 2006","Honshu","Sado","Mammals","Carnivora","Mustelidae","Martes melampus","Martes melampus","Martes melampus","","Male","CBL",85.1,88.32,NA,NA,78,2,85.1,NA,NA,NA,78,NA,88.32,NA,NA,NA,2,NA,138.3667,38.0167,2.9329808219232,1.49970082589721,"No","log10(mass,g) = -4.2989  +3.9723*log10(CBL mm), r2 = 0.9539, own model, Mustelidae, Herpestidae, Viverridae","Conspecific","Island rule","Yes",0.593525537109375,0.0255849197387695,12.505521774292,829.703308105469,2263.25,0.58422958984375,0.0499451629638672,12.1483850479126,818.051635742188,2243.07592773438,0.576266943359375,0.0442838958740234,12.2642698287964,818.095336914062,2231.28466796875,0.593525537109375,-1.57536464650505,12.505521774292,2.91892282166791,3.35473252904253,NA,85.1,88.32,NA,NA
"Abe 1996","Echigo, Honshu, Japan","Sado","Mammals","Eulipotyphla","Talpidae","Mogera tokudae","Mogera tokudae","Mogera tokudae","","Unsexed","Skull",41.13,39.18,NA,NA,24,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138.3667,38.0167,2.9329808219232,1.49970082589721,"No","log10(mass,g) = -2.8722  +3.1651*log10(Skull mm), r2 = 0.9801, own model, All species","Conspecific","No island rule","Yes",0.593525537109375,0.0255849197387695,12.505521774292,829.703308105469,2263.25,0.58422958984375,0.0499451629638672,12.1483850479126,818.051635742188,2243.07592773438,0.576266943359375,0.0442838958740234,12.2642698287964,818.095336914062,2231.28466796875,0.593525537109375,-1.57536464650505,12.505521774292,2.91892282166791,3.35473252904253,NA,41.13,39.18,NA,NA
"Meiri et al 2006","Honshu","Sado","Mammals","Carnivora","Mustelidae","Mustela sibirica","Mustela sibirica","Mustela sibirica","","Male","CBL",57.06,55.84,3.583,2.167,91,9,57.06,NA,3.58,NA,91,NA,55.84,NA,2.17,NA,9,NA,138.3667,38.0167,2.9329808219232,1.49970082589721,"No","log10(mass,g) = -4.2989  +3.9723*log10(CBL mm), r2 = 0.9539, own model, Mustelidae, Herpestidae, Viverridae","Conspecific","Island rule","Yes",0.593525537109375,0.0255849197387695,12.505521774292,829.703308105469,2263.25,0.58422958984375,0.0499451629638672,12.1483850479126,818.051635742188,2243.07592773438,0.576266943359375,0.0442838958740234,12.2642698287964,818.095336914062,2231.28466796875,0.593525537109375,-1.57536464650505,12.505521774292,2.91892282166791,3.35473252904253,NA,57.06,55.84,3.583,2.167
"Meiri et al 2006","Honshu","Sado","Mammals","Carnivora","Canidae","Nyctereutes procyonoides","Nyctereutes procyonoides","Nyctereutes procyonoides","","Both","CBL",109.534025974026,104.78,NA,2.376,77,2,110.24,108.73,NA,NA,41,36,106.46,103.1,NA,NA,1,1,138.3667,38.0167,2.9329808219232,1.49970082589721,"No","log10(mass,kg) = -5.1807 + 2.848*log10(CBL mm), r2 = 0.88, Van Valkenburgh, Carnivora. CANIDS","Conspecific","Island rule","Yes",0.593525537109375,0.0255849197387695,12.505521774292,829.703308105469,2263.25,0.58422958984375,0.0499451629638672,12.1483850479126,818.051635742188,2243.07592773438,0.576266943359375,0.0442838958740234,12.2642698287964,818.095336914062,2231.28466796875,0.593525537109375,-1.57536464650505,12.505521774292,2.91892282166791,3.35473252904253,NA,109.534025974026,104.78,NA,2.376
"Heaney 1978","Malay Peninsula","Saint Barbe","Mammals","Rodentia","Sciuridae","Callosciurus prevostii","Callosciurus prevostii","Callosciurus prevostii","","Unsexed","Length",261.129,196.4,10.981,7.45,17,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.219,0.119,1,2.26482018329922,"No","Rodentia: log10(BM,g) = -4.1004 +2.821*log10(length, mm) (r2 = 0.9352)","Conspecific","Island rule","Yes",0.5972095703125,0.0177423187255859,NA,NA,NA,0.5972095703125,0.0177423187255859,NA,NA,NA,0.554035009765625,0.0468707244873047,26.9590625762939,43.53955078125,2680.88330078125,0.5972095703125,-1.72717668092781,26.9590625762939,1.63888394390051,3.42827790949581,NA,261.129,196.4,10.981,7.45
