"Reference","ID","CommonControl","Mainland","Island","Class","Order","Family","Binomial","Species_main","Species_island","guild","Sex","Measure","Mean_m","Mean_i","sd_m","sd_i","N_m","N_i","RR","var","Long_i","Lat_i","logmass","Island_km2","Dist_near_mainland","NDVI","SDNDVI","tmean","tseas","prec","Archipielago","Phylogeny","Data_source_type"
"Driessen et al. 2015","ES951","CC433","Victoria, Australi","Tasmania","Mammals","Peramelemorphia","Peramelidae","Isoodon obesulus","Isoodon obesulus","Isoodon obesulus","Inver","Both","Length",648.900386657837,1084.56952235371,32.2594822612837,50.7455574071556,65,35,0.513659216162433,0.000100570880887545,146.5,-42.1,2.81217803294025,4.80317698254222,2.38021305126818,0.698959326171875,-1.94242661746699,8.77623271942139,2.51585998376426,3.16215030256729,"No","Conspecific","No island rule"
"Heinsohn 1966, Mallick et al. 1998,  Stoddart and Braithwaite 1979","ES952","CC434","Cranbourne, Victoria","Tasmania","Mammals","Peramelemorphia","Peramelidae","Isoodon obesulus","Isoodon obesulus","Isoodon obesulus","Inver","Both","Weight",539.987014925373,1093.90000015,154.585001595326,51.1821179843147,67,140,0.705959478428164,0.00123882516742971,146.5,-42.1,2.73238331646359,4.80317698254222,2.38021305126818,0.698959326171875,-1.94242661746699,8.77623271942139,2.51585998376426,3.16215030256729,"No","Conspecific","No island rule"
"Lyon 1908","ES953","CC435","Malay Peninsula","Tebingtinggi (Rantau)","Mammals","Eulipotyphla","Erinaceidae","Echinosorex gymnura","Echinosorex gymnura","Echinosorex gymnura","Omn","Female","Length",1516.45314790536,1516.45314790536,40.0996602984112,40.0996602984112,2,3,0,0.000582696147970206,102.6729,-0.8843,3.1808289969609,3.20330491613848,0.544192110765033,0.74751220703125,-1.37080328871359,26.6357326507568,1.55299067527188,3.37546258123914,"No","Conspecific","No island rule"
"Lyon 1908","ES954","CC95","Malay Peninsula","Tebingtinggi (Rantau)","Mammals","Cetartiodactyla","Cetartiodactyla","Tragulus javanicus","Tragulus javanicus","Tragulus javanicus","Herb","Male","Weight",1950,1950,353.553,353.553,9,2,0,0.0200890782657462,102.6729,-0.8843,3.29003461136252,3.20330491613848,0.544192110765033,0.74751220703125,-1.37080328871359,26.6357326507568,1.55299067527188,3.37546258123914,"No","Conspecific","No island rule"
"Hill 1960","ES955","CC282","Malay Peninsula","Telibon","Mammals","Rodentia","Sciuridae","Callosciurus caniceps","Callosciurus caniceps","Callosciurus caniceps","Omn","Unsexed","Length",311.254923785435,256.4757585491,14.2142597393309,6.60646178055785,129,8,-0.19357811548065,9.91052015192333e-05,99.392,7.248,2.49311623032365,1.51851393987789,0.491501766237326,0.739956982421875,-1.71175712829339,27.6202964782715,1.80857634484131,3.30837229459374,"No","Conspecific","No island rule"
"Hill 1960","ES956","CC2","Malay Peninsula","Telibon","Mammals","Rodentia","Muridae","Maxomys surifer","Maxomys surifer","Maxomys surifer","Omn","Unsexed","Length",209.911705872661,160.703652918761,13.5761028284763,9.44601122679464,96,8,-0.267124990300942,0.000475444199103037,99.392,7.248,2.32203665799235,1.51851393987789,0.491501766237326,0.739956982421875,-1.71175712829339,27.6202964782715,1.80857634484131,3.30837229459374,"No","Conspecific","No island rule"
"Hill 1960","ES957","CC32","Malay Peninsula","Telibon","Mammals","Scandentia","Tupaiidae","Tupaia glis","Tupaia glis","Tupaia glis","Inver","Unsexed","Length",174.122558149929,145.961223301136,8.63954549664276,2.96379945038415,146,5,-0.176418415850712,9.93241457477518e-05,99.392,7.248,2.24085503904036,1.51851393987789,0.491501766237326,0.739956982421875,-1.71175712829339,27.6202964782715,1.80857634484131,3.30837229459374,"No","Conspecific","No island rule"
"Heaney 1978","ES958","CC75","Malay Peninsula","Temaju","Mammals","Rodentia","Sciuridae","Callosciurus prevostii","Callosciurus prevostii","Callosciurus prevostii","Omn","Unsexed","Length",521.853082255084,396.976761150649,21.9449723938861,6.04677682596558,17,3,-0.273508353819662,0.000181360495369153,108.8519,0.498,2.71754825291283,0.698970004336019,0.699056854547668,0.64309287109375,-1.58024113500281,27.0848960876465,1.59131584328867,3.42111012979343,"No","Conspecific","Island rule"
"Lyon 1911","ES959","CC269","Borneo","Temaju","Mammals","Rodentia","Sciuridae","Callosciurus prevostii","Sciurus prevostii sanggaus","Sciurus prevostii proscipinae","Omn","Both","Length",461.146241390378,365.678229634616,15.9588359861819,22.7830011632009,28,5,-0.231961426419264,0.000819115750556974,108.8519,0.498,2.66383867323603,0.698970004336019,0.699056854547668,0.64309287109375,-1.58024113500281,27.0848960876465,1.59131584328867,3.42111012979343,"No","Conspecific","No island rule"
"Redfield 1976","ES960","CC178","Boundary bay (British Columbia, Canada)","Tent","Mammals","Rodentia","Cricetidae","Peromyscus maniculatus","Peromyscus maniculatus","Peromyscus maniculatus","Omn","Both","Weight",14.8888888888889,19.6578947368421,3.5783949554956,2.38656052170385,18,38,0.277863802791739,0.00359694300163541,-123.628,48.928,1.17286228892548,-0.602059991327962,0.708505880955237,0.727174951171875,-1.52639570116722,9.96469974517822,2.68277858331354,3.04633123154112,"No","Conspecific","Island rule"
"Ganem et al 1995","ES961","CC98","Senegal","Terema","Mammals","Rodentia","Muridae","Mastomys huberti","Mastomys huberti","Mastomys huberti","Herb","Both","Weight",46.5729411747059,27.6583333333333,10.9682789075371,3.64744301939182,85,24,-0.521092642057505,0.00137714109719422,-16.638,13.654,1.66813366536694,-0.0969100130080564,0.301247088636211,0.441234326171875,-1.87686372135388,26.231595993042,2.12666780270643,2.88533861236409,"No","Conspecific","Island rule"
"Hill 1960","ES962","CC282","Malay Peninsula","Terutau","Mammals","Rodentia","Sciuridae","Callosciurus caniceps","Callosciurus caniceps","Callosciurus caniceps","Omn","Unsexed","Length",311.254923785435,313.607014789559,14.2142597393309,17.767707521403,129,18,0.00752838977048565,0.000194494560582421,99.652,6.613,2.49311623032365,2.17897694729317,1.19592731359722,0.7448568359375,-1.8221664300912,27.1944141387939,1.76397558808701,3.34728512344696,"No","Conspecific","No island rule"
"Hill 1960","ES963","CC436","Malay Peninsula","Terutau","Mammals","Rodentia","Sciuridae","Hylopetes spadiceus","Hylopetes spadiceus","Hylopetes spadiceus","Herb","Unsexed","Length",89.9139731092091,99.2702542758668,7.65938602357448,4.89436584702187,4,12,0.0989926131875909,0.00201672064724939,99.652,6.613,1.95382718864831,2.17897694729317,1.19592731359722,0.7448568359375,-1.8221664300912,27.1944141387939,1.76397558808701,3.34728512344696,"No","Conspecific","No island rule"
"Hill 1960","ES964","CC119","Malay Peninsula","Terutau","Mammals","Rodentia","Muridae","Leopoldamys sabanus","Leopoldamys sabanus","Leopoldamys sabanus","Omn","Unsexed","Length",406.4999332113,309.56575310923,30.7800388758364,14.4868213033375,53,18,-0.272413245661154,0.000229844258561499,99.652,6.613,2.6090604785747,2.17897694729317,1.19592731359722,0.7448568359375,-1.8221664300912,27.1944141387939,1.76397558808701,3.34728512344696,"No","Conspecific","No island rule"
"Hill 1960","ES965","CC2","Malay Peninsula","Terutau","Mammals","Rodentia","Muridae","Maxomys surifer","Maxomys surifer","Maxomys surifer","Omn","Unsexed","Length",209.911705872661,209.651874395462,13.5761028284763,11.2002908770951,96,26,-0.00123857990843956,0.000153342853038638,99.652,6.613,2.32203665799235,2.17897694729317,1.19592731359722,0.7448568359375,-1.8221664300912,27.1944141387939,1.76397558808701,3.34728512344696,"No","Conspecific","No island rule"
"Meiri et al 2006","ES966","CC371","Malay Peninsula","Terutau","Mammals","Carnivora","Viverridae","Paradoxurus hermaphroditus","Paradoxurus hermaphroditus","Paradoxurus hermaphroditus","Omn","Male","CBL",4286.28094979362,4227.03233982003,241.323601380616,149.229939335936,30,7,-0.0139192731558561,0.000283711887255979,99.652,6.613,3.63208063402876,2.17897694729317,1.19592731359722,0.7448568359375,-1.8221664300912,27.1944141387939,1.76397558808701,3.34728512344696,"No","Conspecific","Island rule"
"Pocock 1934","ES967","CC437","Malay Peninsula","Terutau","Mammals","Carnivora","Viverridae","Paradoxurus hermaphroditus","Paradoxurus hermaphroditus","Paradoxurus hermaphroditus","Omn","Both","Length",4502.30911260247,3212.81514662925,314.892291154227,105.646358792875,11,5,-0.337442855772942,0.000660949183595576,99.652,6.613,3.65343530880955,2.17897694729317,1.19592731359722,0.7448568359375,-1.8221664300912,27.1944141387939,1.76397558808701,3.34728512344696,"No","Conspecific","No island rule"
"Sargis et al. 2018","ES968","CC3","Mainland SE Asia","Terutau","Mammals","Scandentia","Tupaiidae","Tupaia glis","Tupaia glis","Tupaia glis","Inver","Both","Length",201.351763345757,177.768767401248,13.4191393519257,5.43955106883029,43,5,-0.12456979863477,0.000290552860832046,99.652,6.613,2.30395543731061,2.17897694729317,1.19592731359722,0.7448568359375,-1.8221664300912,27.1944141387939,1.76397558808701,3.34728512344696,"No","Conspecific","Island rule"
