"Reference","Mainland","Island","Class","Order","Family","Binomial","Species_main","Species_island","Diet","Sex","Measure","Mean_m","Mean_i","sd_m","sd_i","N_m","N_i","Mean_m_male","Mean_m_female","sd_m_male","sd_m_female","N_m_male","N_m_female","Mean_i_male","Mean_i_female","sd_i_male","sd_i_female","N_i_male","N_i_female","Long_i","Lat_i","Island_km2","Dist_near_mainland","Allometry","Phylogeny","Data_source_type","NDVI_0.1","SDNDVI_0.1","tmean_0.1","tseas_0.1","prec_0.1","NDVI_0.5","SDNDVI_0.5","tmean_0.5","tseas_0.5","prec_0.5","NDVI_1","SDNDVI_1","tmean_1","tseas_1","prec_1","NDVI","SDNDVI","tmean","tseas","prec","pseas","Mean_m_pooled","Mean_i_pooled","sd_m_combined","sd_i_combined"
"Inger et al 2009","Malaysia","Sumatra","Amphibians","Anura","Ranidae","Rana chalconota","Rana chalconota","Rana parvaccola","","Both","SVL",38.3475,37.2917857142857,6.07830356214203,5.34025665465304,32,28,32.44,43.56,1.86,2.64,15,17,32.39,41.54,2.74,2.63,13,15,101.6,-0.4,5.67541811271593,1.82608128465965,"10^-4.862×SVL^3.492 (Ranidae); Santini et al. 2017","Phylogeny: Inger, R. F., Stuart, B. L., & Iskandar, D. T. (2009). Systematics of a widespread southeast Asian frog, Rana chalconota (Amphibia: Anura: Ranidae). Zoological Journal of the Linnean Society, 155(1), 123-147.","No island rule",0.71491474609375,0.0365743041992188,26.6330299377441,31.844352722168,2485.18994140625,0.752976806640625,0.0367510162353516,26.4502372741699,34.7765693664551,2450.15356445312,0.775979541015625,0.0453880126953125,25.9305744171143,33.0702667236328,2467.53637695312,0.775979541015625,-1.33359423265362,25.9305744171143,1.51943769766952,3.39226356385173,NA,38.3475,37.2917857142857,6.07830356214203,5.34025665465304
"Kang et al. 2017","Korea","Cheju Do","Amphibians","Anura","Bombinatorina","Bombina orientalis","Bombina orientalis","Bombina orientalis","","Both","Weight",7.77476190487143,5.70000000003704,2.19821179851004,1.83072074920289,210,27,7.831372549,7.622807018,2.229924196,2.122500004,153,57,6.65,4.676923077,0.941153139,2.028609477,14,13,126.591,33.377,3.26150077319828,1.91381914862559,"Weight","","No island rule",0.68726943359375,0.0173039779663086,10.5856027603149,789.121154785156,2015.59997558594,0.607816064453125,0.0142253540039063,14.3664684295654,764.789916992188,1868.55065917969,0.56867099609375,0.0149758255004883,14.4817056655884,756.402587890625,1779.36901855469,0.607816064453125,-1.81743260081951,14.3664684295654,2.88354215355737,3.27150487671279,NA,7.77476190487143,5.70000000003704,2.19821179851004,1.83072074920289
"Kutrup et al 2011","Turkey","Giresun","Amphibians","Anura","Bufonidae","Bufo viridis","Bufo viridis","Bufo viridis","","Both","SVL",66.4745454545455,78.8305357142857,6.20070980728536,6.2761170449839,44,56,66.12,69.24,5.49,10.78,39,5,77.11,79.46,5.02,6.62,15,41,38.437,40.929,-1.39794000867204,0.146438135285775,"10^-3.791×SVL^2.914 (Bufonidae); Santini et al. 2017","","No island rule",0.612859765625,0.0196676727294922,14.3423175811768,590.363952636719,1173.18005371094,0.594787158203125,0.0329315490722656,9.21532249450684,639.845458984375,840.353210449219,0.451442578125,0.0268756896972656,8.01010513305664,716.999938964844,704.391784667969,0.612859765625,-1.68470842408113,14.3423175811768,2.77111983179449,3.06936467054026,NA,66.4745454545455,78.8305357142857,6.20070980728536,6.2761170449839
"Kwet et al. 2009","Brazil","Ilha de Santa Catarina","Amphibians","Anura","Leptodactylidae","Adenomera engelsi","Adenomera engelsi","Adenomera engelsi","","Male","SVL",21.55,21.79,0.354,0.633,2,10,21.55,NA,0.353553391,NA,2,NA,21.79,NA,0.633245608,NA,10,NA,-48.9177,-27.5141,2.6277753752293,-0.300162274132754,"10^-4.324×SVL^3.189; Santini et al. 2017","","No island rule",0.806981982421875,0.0160290908813477,17.0396060943604,306.474548339844,1667.2900390625,0.7321048828125,0.0133265869140625,18.4004077911377,307.105529785156,1607.25158691406,0.69559658203125,0.0144962936401367,19.0185489654541,312.482696533203,1613.68542480469,0.806981982421875,-1.76880853675572,17.0396060943604,2.48639441368469,3.22201115556144,NA,21.55,21.79,0.354,0.633
"Leet et al. 2012, MVZ","California","Southeast Farallon","Amphibians","Caudata","Plethodontidae","Aneides lugubris","Aneides lugubris","Aneides lugubris","","Both","SVL",60.9,68.67,68.482,14.496,111,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-123.0025,37.6985,-0.318758762624413,1.51055841415044,"10^-4.706×SVL^2.968 (Plethodontidae); Santini et al. 2017","","No island rule",NA,NA,NA,NA,NA,0.568311181640625,0.0149543426513672,12.6347217559814,149.655258178711,1091,0.568311181640625,0.0149543426513672,12.6347217559814,149.655258178711,1091,0.568311181640625,-1.7971210848434,12.6347217559814,2.17509198050051,3.03782475058834,NA,60.9,68.67,68.482,14.496
"Lo Valvo and Giacalone 2008, Amor et al. 2011","Tunisia","Sicily","Amphibians","Anura","Bufonidae","Bufo boulengeri","Bufo boulengeri","Bufo siculus","","Male","Weight",29.9,49.3,3.42,9.503,27,354,29.9,NA,3.42,NA,27,NA,49.3,NA,9.503438186,NA,354,NA,14.275,37.481,4.40585839931764,0.491501766237326,"Weight","Phylogeny: Stöck, M., Sicilia, A., Belfiore, N. M., Buckley, D., Brutto, S. L., Valvo, M. L., & Arculeo, M. (2008). Post-Messinian evolutionary relationships across the Sicilian channel: mitochondrial and nuclear markers link a new green toad from Sicily to African relatives. BMC evolutionary Biology, 8(1), 56.","No island rule",0.440791162109375,0.0190954833984375,15.4975023269653,604.389221191406,491.450012207031,0.410292578125,0.0180873489379883,16.6825065612793,562.444274902344,442.535614013672,0.48783291015625,0.0168174591064453,15.4296607971191,588.66845703125,511.897094726562,0.48783291015625,-1.7491542292963,15.4296607971191,2.76987076537853,2.70918266471766,NA,29.9,49.3,3.42,9.503
"Maddock 2016","Mahé (Seychelles)","Félicité","Amphibians","Gymnophiona","Indotyphlidae","Grandisonia alternans","Grandisonia alternans","Grandisonia alternans","","Unsexed","TL",200.21,199.86,70.86,47.84,24,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.873,-4.326,0.428134794028789,1.7226421477302,"LOG10(Weight, g)= LOG10(SVL, mm)*2.597-5.465, I used the allometry for all snakes as approximation (see also Pough 1980). Feldman et al 2015","","No island rule",0.63437734375,0.0146725891113281,27.0118064880371,69.2677688598633,2276.7900390625,0.64207802734375,0.0150642868041992,27.273063659668,67.263542175293,2303.00073242188,0.629513232421875,0.0238468566894531,26.988468170166,69.8714370727539,2298.68041992188,0.63437734375,-1.80485925216707,27.0118064880371,1.84053119907823,3.35732298270962,NA,200.21,199.86,70.86,47.84
"Maddock 2016","Mahé (Seychelles)","Frégate","Amphibians","Gymnophiona","Indotyphlidae","Grandisonia alternans","Grandisonia alternans","Grandisonia alternans","","Unsexed","TL",200.21,246.11,70.86,33.29,24,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.94,-4.5865,0.315970345456918,1.6532221646566,"LOG10(Weight, g)= LOG10(SVL, mm)*2.597-5.465, I used the allometry for all snakes as approximation (see also Pough 1980). Feldman et al 2015","","No island rule",0.55613583984375,0.0390914855957031,NA,NA,NA,0.572874755859375,0.0279952484130859,26.8737316131592,71.0648727416992,2299.63989257812,0.629513232421875,0.0238468566894531,26.988468170166,69.8714370727539,2298.68041992188,0.55613583984375,-1.39694785060749,26.988468170166,1.84429967564806,3.36147859653593,NA,200.21,246.11,70.86,33.29
"Maddock 2016","Mahé (Seychelles)","La Digue","Amphibians","Gymnophiona","Indotyphlidae","Grandisonia alternans","Grandisonia alternans","Grandisonia alternans","","Unsexed","TL",200.21,214.6,70.86,39.45,24,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.838,-4.36,1,1.66746229245581,"LOG10(Weight, g)= LOG10(SVL, mm)*2.597-5.465, I used the allometry for all snakes as approximation (see also Pough 1980). Feldman et al 2015","","No island rule",0.63437734375,0.0146725891113281,27.0118064880371,69.2677688598633,2276.7900390625,0.64207802734375,0.0150642868041992,27.273063659668,67.263542175293,2303.00073242188,0.629513232421875,0.0238468566894531,26.988468170166,69.8714370727539,2298.68041992188,0.63437734375,-1.80485925216707,27.0118064880371,1.84053119907823,3.35732298270962,NA,200.21,214.6,70.86,39.45
"Maddock 2016","Mahé (Seychelles)","Praslin","Amphibians","Gymnophiona","Indotyphlidae","Grandisonia alternans","Grandisonia alternans","Grandisonia alternans","","Unsexed","TL",200.21,250.33,70.86,18.5,24,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.73,-4.323,1.57978359661681,1.57288321419716,"LOG10(Weight, g)= LOG10(SVL, mm)*2.597-5.465, I used the allometry for all snakes as approximation (see also Pough 1980). Feldman et al 2015","","No island rule",0.6878533203125,0.0103643135070801,26.7956714630127,74.3890380859375,2286.60009765625,0.64207802734375,0.0150642868041992,27.273063659668,67.263542175293,2303.00073242188,0.629513232421875,0.0238468566894531,26.988468170166,69.8714370727539,2298.68041992188,0.6878533203125,-1.94445679391101,26.7956714630127,1.87150894294456,3.35919021770369,NA,200.21,250.33,70.86,18.5
