"Reference","Mainland","Island","Class","Order","Family","Binomial","Species_main","Species_island","Diet","Sex","Measure","Mean_m","Mean_i","sd_m","sd_i","N_m","N_i","Mean_m_male","Mean_m_female","sd_m_male","sd_m_female","N_m_male","N_m_female","Mean_i_male","Mean_i_female","sd_i_male","sd_i_female","N_i_male","N_i_female","Long_i","Lat_i","Island_km2","Dist_near_mainland","Allometry","Phylogeny","Data_source_type","NDVI_0.1","SDNDVI_0.1","tmean_0.1","tseas_0.1","prec_0.1","NDVI_0.5","SDNDVI_0.5","tmean_0.5","tseas_0.5","prec_0.5","NDVI_1","SDNDVI_1","tmean_1","tseas_1","prec_1","NDVI","SDNDVI","tmean","tseas","prec","pseas","Mean_m_pooled","Mean_i_pooled","sd_m_combined","sd_i_combined"
"Altuni?ik et al. 2014","Çanakkale (Turkey)","Bozcaada (Tenedos) Island","Amphibians","Caudata","Salamandridae","Lissotriton vulgaris","Lissotriton vulgaris","Lissotriton vulgaris","","Both","SVL",33.394,32.2741176470588,2.40571228099857,1.69271438385046,20,17,31.95,35.56,1.75,1.4,12,8,31.78,32.83,1.59,1.73,9,8,26.039,39.8261,1.57518784492766,0.856245400790054,"10^-4.744×SVL^3.073 (Salamandridae); Santini et al. 2017","","Island rule",0.4155423828125,0.01307705078125,15.7518892288208,646.56640625,561.929992675781,0.475170166015625,0.0126770362854004,15.0862483978271,688.477355957031,607.664794921875,0.51228271484375,0.0130044586181641,15.0725994110107,684.134948730469,641.167297363281,0.4155423828125,-1.85148832272161,15.7518892288208,2.81061313615667,2.74968221292061,NA,33.394,32.2741176470588,2.40571228099857,1.69271438385046
"Altuni?ik et al. 2014","Çanakkale (Turkey)","Bozcaada (Tenedos) Island","Amphibians","Caudata","Salamandridae","Lissotriton vulgaris","Lissotriton vulgaris","Lissotriton vulgaris","","Both","Weight",1.822,1.49529411764706,0.31541284558162,0.319562545659274,20,17,1.69,2.02,0.15,0.4,12,8,1.5,1.49,0.33,0.33,9,8,26.039,39.8261,1.57518784492766,0.856245400790054,"Weight","","Island rule",0.4155423828125,0.01307705078125,15.7518892288208,646.56640625,561.929992675781,0.475170166015625,0.0126770362854004,15.0862483978271,688.477355957031,607.664794921875,0.51228271484375,0.0130044586181641,15.0725994110107,684.134948730469,641.167297363281,0.4155423828125,-1.85148832272161,15.7518892288208,2.81061313615667,2.74968221292061,NA,1.822,1.49529411764706,0.31541284558162,0.319562545659274
"Castellano et al 1999","Italy","Sardinia","Amphibians","Anura","Bufonidae","Bufo viridis","Bufo viridis","Bufo viridis","","Male","SVL",61.8,83.12,4.95,5.54,369,109,61.8,NA,4.95,NA,369,NA,83.12,NA,5.54,NA,109,NA,9.034,40.029,4.37717871299024,2.33041580275792,"10^-3.791×SVL^2.914 (Bufonidae); Santini et al. 2017","","Island rule",0.66112890625,0.0101218635559082,13.7211742401123,617.583984375,780.659973144531,0.601354736328125,0.012369100189209,13.6223840713501,622.664978027344,719.426818847656,0.58357021484375,0.0173644348144531,14.6707763671875,604.79638671875,627.792236328125,0.58357021484375,-1.73602243300022,14.6707763671875,2.7816091878622,2.79781594063974,NA,61.8,83.12,4.95,5.54
"Li et al. 2011","China (Zhejiang, Zhenhai and Beilun)","Cezi","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Rana limnocharis","Rana limnocharis","","Both","SVL",37.2771906354515,39.5208333333333,3.72734401729539,4.49827842312253,299,96,36.37,38.54,3.58,3.57,174,125,38.1,41.2,2.6,5.6,52,44,121.934,30.095,1.17318626841227,1.21751026429403,"10^-4.4312×SVL^3.2088(Thamnachoti 2012, Morphometric and Gravimetric Parameters of the Rice Frog Fejervarya limnocharis Living in Areas with Different Agricultural Activity)","","Island rule",0.46007119140625,0.0150831909179688,16.3729953765869,796.827697753906,1227.81005859375,0.334610595703125,0.0158856811523438,16.4349994659424,807.729919433594,1173.46997070312,0.392134204101563,0.014462516784668,16.2798252105713,846.285522460938,1099.45080566406,0.46007119140625,-1.7936277826656,16.3729953765869,2.90136442176682,3.08913118693145,NA,37.2771906354515,39.5208333333333,3.72734401729539,4.49827842312253
"Li et al. 2011","China (Zhejiang, Zhenhai and Beilun)","Changbai","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Rana limnocharis","Rana limnocharis","","Both","SVL",37.2771906354515,39.7765957446809,3.72734401729539,3.03651347648663,299,94,36.37,38.54,3.58,3.57,174,125,39.3,40.9,3.1,2.6,66,28,122.035,30.181,1.01029995663981,1.57519939515923,"10^-4.4312×SVL^3.2088(Thamnachoti 2012, Morphometric and Gravimetric Parameters of the Rice Frog Fejervarya limnocharis Living in Areas with Different Agricultural Activity)","","Island rule",0.3764142578125,0.0101667182922363,16.3839740753174,796.994323730469,1213.98999023438,0.3134388671875,0.01673828125,16.4920024871826,789.497741699219,1159.337890625,0.272695092773438,0.0231509796142578,16.4502201080322,785.22314453125,1105.64294433594,0.3764142578125,-1.95207443986358,16.3839740753174,2.90145522832044,3.08421510584641,NA,37.2771906354515,39.7765957446809,3.72734401729539,3.03651347648663
"Li et al. 2011","China (Zhejiang, Zhenhai and Beilun)","Dachangtu","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Rana limnocharis","Rana limnocharis","","Both","SVL",37.2771906354515,37.82,3.72734401729539,2.96372002112824,299,100,36.37,38.54,3.58,3.57,174,125,37.2,39.2,2.7,3.1,69,31,122.339,30.252,1.52244423350632,1.57519939515923,"10^-4.4312×SVL^3.2088(Thamnachoti 2012, Morphometric and Gravimetric Parameters of the Rice Frog Fejervarya limnocharis Living in Areas with Different Agricultural Activity)","","Island rule",0.33103955078125,0.016052604675293,16.4136009216309,781.956970214844,1143.5,0.3134388671875,0.01673828125,16.4920024871826,789.497741699219,1159.337890625,0.272695092773438,0.0231509796142578,16.4502201080322,785.22314453125,1105.64294433594,0.33103955078125,-1.76820927592597,16.4136009216309,2.89318285521788,3.05823616894277,NA,37.2771906354515,37.82,3.72734401729539,2.96372002112824
"Li et al. 2011","China (Zhejiang, Zhenhai and Beilun)","Daishan","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Rana limnocharis","Rana limnocharis","","Both","SVL",37.2771906354515,37.1938775510204,3.72734401729539,3.18581962221091,299,98,36.37,38.54,3.58,3.57,174,125,36.5,38.5,2.5,3.9,64,34,122.187,30.28,2,1.56821346159708,"10^-4.4312×SVL^3.2088(Thamnachoti 2012, Morphometric and Gravimetric Parameters of the Rice Frog Fejervarya limnocharis Living in Areas with Different Agricultural Activity)","","Island rule",0.354496875,0.00944504241943359,16.5334606170654,796.403076171875,1147.59997558594,0.3134388671875,0.01673828125,16.4920024871826,789.497741699219,1159.337890625,0.272695092773438,0.0231509796142578,16.4502201080322,785.22314453125,1105.64294433594,0.354496875,-1.98108979192221,16.5334606170654,2.90113292885649,3.05979053033477,NA,37.2771906354515,37.1938775510204,3.72734401729539,3.18581962221091
"Li et al. 2011","China (Zhejiang, Zhenhai and Beilun)","Damao","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Rana limnocharis","Rana limnocharis","","Both","SVL",37.2771906354515,40.6594339622641,3.72734401729539,3.26586321417366,299,106,36.37,38.54,3.58,3.57,174,125,39.9,43.4,2.3,4.6,83,23,122.04,29.95,0.755874855672491,0.944532020991981,"10^-4.4312×SVL^3.2088(Thamnachoti 2012, Morphometric and Gravimetric Parameters of the Rice Frog Fejervarya limnocharis Living in Areas with Different Agricultural Activity)","","Island rule",0.40530107421875,0.0122613258361816,16.3550586700439,775.912719726562,1274.67004394531,0.303612573242187,0.0203075988769531,16.5787372589111,778.68505859375,1264.79736328125,0.29361328125,0.0197222213745117,16.6481304168701,775.973449707031,1258.2353515625,0.40530107421875,-1.87741305401926,16.3550586700439,2.88981287142187,3.10539777956291,NA,37.2771906354515,40.6594339622641,3.72734401729539,3.26586321417366
"Li et al. 2011","China (Zhejiang, Zhenhai and Beilun)","Daxie","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Rana limnocharis","Rana limnocharis","","Both","SVL",37.2771906354515,38.4063829787234,3.72734401729539,3.0029486767136,299,94,36.37,38.54,3.58,3.57,174,125,37.9,39.6,3,2.7,66,28,121.967,29.918,1.45024910831936,-0.396855627379818,"10^-4.4312×SVL^3.2088(Thamnachoti 2012, Morphometric and Gravimetric Parameters of the Rice Frog Fejervarya limnocharis Living in Areas with Different Agricultural Activity)","","Island rule",0.399638330078125,0.0128199630737305,16.5767021179199,796.067016601562,1268.85998535156,0.47588681640625,0.0130396835327148,16.5093727111816,812.014343261719,1260.17443847656,0.559024267578125,0.0118900650024414,15.9819145202637,810.907043457031,1302.61145019531,0.399638330078125,-1.85949311737401,16.5767021179199,2.90094963019386,3.10341370172903,NA,37.2771906354515,38.4063829787234,3.72734401729539,3.0029486767136
"Li et al. 2011","China (Zhejiang, Zhenhai and Beilun)","Dayushan","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Rana limnocharis","Rana limnocharis","","Both","SVL",37.2771906354515,41.215625,3.72734401729539,3.30127019015726,299,96,36.37,38.54,3.58,3.57,174,125,40.4,43.3,3.1,2.9,69,27,121.967,30.314,0.792391689498254,1.63145391596197,"10^-4.4312×SVL^3.2088(Thamnachoti 2012, Morphometric and Gravimetric Parameters of the Rice Frog Fejervarya limnocharis Living in Areas with Different Agricultural Activity)","","Island rule",0.199661145019531,0.0268871887207031,16.2268409729004,782.424987792969,1100.56994628906,0.334610595703125,0.0158856811523438,16.4349994659424,807.729919433594,1173.46997070312,0.392134204101563,0.014462516784668,16.2798252105713,846.285522460938,1099.45080566406,0.199661145019531,-1.55459526431493,16.2268409729004,2.89344271177867,3.04161764918109,NA,37.2771906354515,41.215625,3.72734401729539,3.30127019015726
"Li et al. 2011","China (Zhejiang, Zhenhai and Beilun)","Dengbu","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Rana limnocharis","Rana limnocharis","","Both","SVL",37.2771906354515,39.2787234042553,3.72734401729539,2.72737505614202,299,94,36.37,38.54,3.58,3.57,174,125,38.8,40.3,2.9,2,64,30,122.318,29.868,1.12417805547468,1.14924991259028,"10^-4.4312×SVL^3.2088(Thamnachoti 2012, Morphometric and Gravimetric Parameters of the Rice Frog Fejervarya limnocharis Living in Areas with Different Agricultural Activity)","","Island rule",0.3915125,0.0186243255615234,16.4728832244873,766.76953125,1248.60998535156,0.303612573242187,0.0203075988769531,16.5787372589111,778.68505859375,1264.79736328125,0.29361328125,0.0197222213745117,16.6481304168701,775.973449707031,1258.2353515625,0.3915125,-1.70720525993007,16.4728832244873,2.88466484719912,3.09642680373778,NA,37.2771906354515,39.2787234042553,3.72734401729539,2.72737505614202
"Li et al. 2011","China (Zhejiang, Zhenhai and Beilun)","Fodu","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Rana limnocharis","Rana limnocharis","","Both","SVL",37.2771906354515,40.5343434343434,3.72734401729539,3.69752155314224,299,99,36.37,38.54,3.58,3.57,174,125,39,43.9,2.2,4.1,68,31,122.018,29.736,0.845098040014257,0.845160077651946,"10^-4.4312×SVL^3.2088(Thamnachoti 2012, Morphometric and Gravimetric Parameters of the Rice Frog Fejervarya limnocharis Living in Areas with Different Agricultural Activity)","","Island rule",0.391640258789063,0.00814578247070312,16.556058883667,788.944885253906,1260.34997558594,0.303612573242187,0.0203075988769531,16.5787372589111,778.68505859375,1264.79736328125,0.29361328125,0.0197222213745117,16.6481304168701,775.973449707031,1258.2353515625,0.391640258789063,-2.03877913237768,16.556058883667,2.89704666497602,3.1004911573089,NA,37.2771906354515,40.5343434343434,3.72734401729539,3.69752155314224
"Li et al. 2011","China (Zhejiang, Zhenhai and Beilun)","Huni","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Rana limnocharis","Rana limnocharis","","Both","SVL",37.2771906354515,41.5043010752688,3.72734401729539,3.45423224901099,299,93,36.37,38.54,3.58,3.57,174,125,40.6,43.5,3,3.6,64,29,122.185,29.793,0.136720567156407,1.0366688103001,"10^-4.4312×SVL^3.2088(Thamnachoti 2012, Morphometric and Gravimetric Parameters of the Rice Frog Fejervarya limnocharis Living in Areas with Different Agricultural Activity)","","Island rule",0.35606962890625,0.0120149726867676,16.6010551452637,782.163635253906,1263.5,0.303612573242187,0.0203075988769531,16.5787372589111,778.68505859375,1264.79736328125,0.29361328125,0.0197222213745117,16.6481304168701,775.973449707031,1258.2353515625,0.35606962890625,-1.88555673896455,16.6010551452637,2.89329762064745,3.10157524625593,NA,37.2771906354515,41.5043010752688,3.72734401729539,3.45423224901099
"Li et al. 2011","China (Zhejiang, Zhenhai and Beilun)","Jintang","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Rana limnocharis","Rana limnocharis","","Both","SVL",37.2771906354515,37.0916666666667,3.72734401729539,3.63929335728116,299,96,36.37,38.54,3.58,3.57,174,125,35.8,38.9,3.1,3.6,56,40,121.887,30.025,1.88309335857569,0.556423121371285,"10^-4.4312×SVL^3.2088(Thamnachoti 2012, Morphometric and Gravimetric Parameters of the Rice Frog Fejervarya limnocharis Living in Areas with Different Agricultural Activity)","","Island rule",0.369833959960938,0.0136226501464844,16.3423938751221,795.177062988281,1216.14001464844,0.334610595703125,0.0158856811523438,16.4349994659424,807.729919433594,1173.46997070312,0.392134204101563,0.014462516784668,16.2798252105713,846.285522460938,1099.45080566406,0.369833959960938,-1.83497391057296,16.3423938751221,2.90046384427496,3.08498357829911,NA,37.2771906354515,37.0916666666667,3.72734401729539,3.63929335728116
"Li et al. 2011","China (Zhejiang, Zhenhai and Beilun)","Liuheng","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Rana limnocharis","Rana limnocharis","","Both","SVL",37.2771906354515,37.9836734693878,3.72734401729539,2.64634328050197,299,98,36.37,38.54,3.58,3.57,174,125,37.8,38.3,2.1,3.4,62,36,122.147,29.708,1.96731391828708,0.845160077651946,"10^-4.4312×SVL^3.2088(Thamnachoti 2012, Morphometric and Gravimetric Parameters of the Rice Frog Fejervarya limnocharis Living in Areas with Different Agricultural Activity)","","Island rule",0.35606962890625,0.0120149726867676,16.6010551452637,782.163635253906,1263.5,0.303612573242187,0.0203075988769531,16.5787372589111,778.68505859375,1264.79736328125,0.29361328125,0.0197222213745117,16.6481304168701,775.973449707031,1258.2353515625,0.35606962890625,-1.88555673896455,16.6010551452637,2.89329762064745,3.10157524625593,NA,37.2771906354515,37.9836734693878,3.72734401729539,2.64634328050197
"Li et al. 2011","China (Zhejiang, Zhenhai and Beilun)","Meishan","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Rana limnocharis","Rana limnocharis","","Both","SVL",37.2771906354515,36.8737373737374,3.72734401729539,2.98181857462125,299,99,36.37,38.54,3.58,3.57,174,125,35.5,39.5,2.4,2.1,65,34,121.99,29.792,1.33965015761368,-0.300162274132754,"10^-4.4312×SVL^3.2088(Thamnachoti 2012, Morphometric and Gravimetric Parameters of the Rice Frog Fejervarya limnocharis Living in Areas with Different Agricultural Activity)","","Island rule",0.375350048828125,0.0101668869018555,16.4115219116211,799.18701171875,1275.5,0.47588681640625,0.0130396835327148,16.5093727111816,812.014343261719,1260.17443847656,0.559024267578125,0.0118900650024414,15.9819145202637,810.907043457031,1302.61145019531,0.375350048828125,-1.95206788237081,16.4115219116211,2.902648417179,3.10568046294581,NA,37.2771906354515,36.8737373737374,3.72734401729539,2.98181857462125
"Li et al. 2011","China (Zhejiang, Zhenhai and Beilun)","Qushan","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Rana limnocharis","Rana limnocharis","","Both","SVL",37.2771906354515,37.827,3.72734401729539,3.13336089607478,299,100,36.37,38.54,3.58,3.57,174,125,37.2,39.1,2.4,4,67,33,122.355,30.444,1.77742682238931,1.76716328985603,"10^-4.4312×SVL^3.2088(Thamnachoti 2012, Morphometric and Gravimetric Parameters of the Rice Frog Fejervarya limnocharis Living in Areas with Different Agricultural Activity)","","Island rule",0.387664770507813,0.012494189453125,16.2876834869385,789.045532226562,1061.59997558594,0.3134388671875,0.01673828125,16.4920024871826,789.497741699219,1159.337890625,0.272695092773438,0.0231509796142578,16.4502201080322,785.22314453125,1105.64294433594,0.387664770507813,-1.86985319681381,16.2876834869385,2.89710206509052,3.02596089986873,NA,37.2771906354515,37.827,3.72734401729539,3.13336089607478
"Li et al. 2011","China (Zhejiang, Zhenhai and Beilun)","Sijiao","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Rana limnocharis","Rana limnocharis","","Both","SVL",37.2771906354515,40.0284210526316,3.72734401729539,3.0715982102986,299,95,36.37,38.54,3.58,3.57,174,125,39.8,40.5,2.9,3.4,64,31,122.453,30.713,1.34830486304816,1.42815099874445,"10^-4.4312×SVL^3.2088(Thamnachoti 2012, Morphometric and Gravimetric Parameters of the Rice Frog Fejervarya limnocharis Living in Areas with Different Agricultural Activity)","","Island rule",0.314744482421875,0.0164011825561523,16.2655200958252,783.387939453125,983.900024414062,0.17210908203125,0.0242333984375,16.297571182251,790.348510742188,1005.88580322266,0.272695092773438,0.0231509796142578,16.4502201080322,785.22314453125,1105.64294433594,0.314744482421875,-1.75942123676567,16.2655200958252,2.89397688113925,2.99295097134684,NA,37.2771906354515,40.0284210526316,3.72734401729539,3.0715982102986
"Li et al. 2011","China (Zhejiang, Zhenhai and Beilun)","Taohua","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Rana limnocharis","Rana limnocharis","","Both","SVL",37.2771906354515,37.6515151515151,3.72734401729539,3.82024317092148,299,99,36.37,38.54,3.58,3.57,174,125,35.8,39.7,2.5,4,52,47,122.232,29.818,1.61278385671974,0.944532020991981,"10^-4.4312×SVL^3.2088(Thamnachoti 2012, Morphometric and Gravimetric Parameters of the Rice Frog Fejervarya limnocharis Living in Areas with Different Agricultural Activity)","","Island rule",0.361122216796875,0.01168876953125,16.5482521057129,777.36572265625,1262.5,0.303612573242187,0.0203075988769531,16.5787372589111,778.68505859375,1264.79736328125,0.29361328125,0.0197222213745117,16.6481304168701,775.973449707031,1258.2353515625,0.361122216796875,-1.89658049072625,16.5482521057129,2.89062538683623,3.1012313867907,NA,37.2771906354515,37.6515151515151,3.72734401729539,3.82024317092148
"Li et al. 2011","China (Zhejiang, Zhenhai and Beilun)","Xiaochangtu","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Rana limnocharis","Rana limnocharis","","Both","SVL",37.2771906354515,41.778,3.72734401729539,3.13415785412052,299,100,36.37,38.54,3.58,3.57,174,125,41.4,42.8,3.3,2.4,73,27,122.281,30.259,1.03342375548695,1.49277435325513,"10^-4.4312×SVL^3.2088(Thamnachoti 2012, Morphometric and Gravimetric Parameters of the Rice Frog Fejervarya limnocharis Living in Areas with Different Agricultural Activity)","","Island rule",0.283958203125,0.0164276794433594,16.5188236236572,789.413452148438,1148,0.3134388671875,0.01673828125,16.4920024871826,789.497741699219,1159.337890625,0.272695092773438,0.0231509796142578,16.4502201080322,785.22314453125,1105.64294433594,0.283958203125,-1.75876043687379,16.5188236236572,2.89730452279937,3.05994188806195,NA,37.2771906354515,41.778,3.72734401729539,3.13415785412052
"Li et al. 2011","China (Zhejiang, Zhenhai and Beilun)","Xiashi","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Rana limnocharis","Rana limnocharis","","Both","SVL",37.2771906354515,37.192,3.72734401729539,4.04801185769014,299,100,36.37,38.54,3.58,3.57,174,125,36.4,40,3.9,3.3,78,22,122.26,29.743,1.22271647114758,1.12060683105677,"10^-4.4312×SVL^3.2088(Thamnachoti 2012, Morphometric and Gravimetric Parameters of the Rice Frog Fejervarya limnocharis Living in Areas with Different Agricultural Activity)","","Island rule",0.354645043945313,0.0164240646362305,16.4318161010742,766.963562011719,1264.25,0.303612573242187,0.0203075988769531,16.5787372589111,778.68505859375,1264.79736328125,0.29361328125,0.0197222213745117,16.6481304168701,775.973449707031,1258.2353515625,0.354645043945313,-1.75885052652849,16.4318161010742,2.88477473136339,3.10183296230458,NA,37.2771906354515,37.192,3.72734401729539,4.04801185769014
"Li et al. 2011","China (Zhejiang, Zhenhai and Beilun)","Xiushan","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Rana limnocharis","Rana limnocharis","","Both","SVL",37.2771906354515,38.438,3.72734401729539,3.25926124119929,299,100,36.37,38.54,3.58,3.57,174,125,36.5,39.9,2.8,2.8,43,57,122.164,30.173,1.36172783601759,1.73640447090963,"10^-4.4312×SVL^3.2088(Thamnachoti 2012, Morphometric and Gravimetric Parameters of the Rice Frog Fejervarya limnocharis Living in Areas with Different Agricultural Activity)","","Island rule",0.381020068359375,0.010888835144043,16.4867877960205,793.8701171875,1212.18994140625,0.3134388671875,0.01673828125,16.4920024871826,789.497741699219,1159.337890625,0.272695092773438,0.0231509796142578,16.4502201080322,785.22314453125,1105.64294433594,0.381020068359375,-1.92486069502781,16.4867877960205,2.89974945456458,3.08357067597008,NA,37.2771906354515,38.438,3.72734401729539,3.25926124119929
"Li et al. 2011","China (Zhejiang, Zhenhai and Beilun)","Zhoushan","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Rana limnocharis","Rana limnocharis","","Both","SVL",37.2771906354515,36.8731958762887,3.72734401729539,3.37560227539463,299,97,36.37,38.54,3.58,3.57,174,125,36.9,36.8,1.9,5.8,71,26,122.121,30.059,2.67089495352021,0.954290761701127,"10^-4.4312×SVL^3.2088(Thamnachoti 2012, Morphometric and Gravimetric Parameters of the Rice Frog Fejervarya limnocharis Living in Areas with Different Agricultural Activity)","","Island rule",0.478612109375,0.0105158576965332,16.4111042022705,798.154663085938,1265.02001953125,0.3134388671875,0.01673828125,16.4920024871826,789.497741699219,1159.337890625,0.272695092773438,0.0231509796142578,16.4502201080322,785.22314453125,1105.64294433594,0.478612109375,-1.93870371041364,16.4111042022705,2.90208705528113,3.10209739847876,NA,37.2771906354515,36.8731958762887,3.72734401729539,3.37560227539463
"Velo-Anton and Cordero-Rivera 2017","Spain (Galicia)","Ons ","Amphibians","Caudata","Salamandridae","Salamandra salamandra","Salamandra salamandra","Salamandra salamandra","","Both","Weight",27.9595419839695,25.52,10.5632801274944,8.49716694876724,262,170,22.92954545,33.06692308,7.279034351,10.94431863,132,130,20.8,27.6,5.768882041,8.690224393,52,118,-8.938,42.377,3.64914006414422,0.544192110765033,"Weight","","Island rule",0.54052978515625,0.0371629638671875,14.6129693984985,310.126739501953,1405.51000976562,0.629724462890625,0.00998212585449219,13.9685983657837,376.99951171875,1613.96643066406,0.678029833984375,0.00856400604248047,13.0822315216064,403.249176025391,1594.02697753906,0.629724462890625,-1.95931358360986,13.9685983657837,2.57634078771776,3.20789449746847,NA,27.9595419839695,25.52,10.5632801274944,8.49716694876724
"Velo-Anton and Cordero-Rivera 2017","Spain (Galicia)","San Martiño","Amphibians","Caudata","Salamandridae","Salamandra salamandra","Salamandra salamandra","Salamandra salamandra","","Both","Weight",27.9595419839695,15.9091603053435,10.5632801274944,5.61038117951557,262,131,22.92954545,33.06692308,7.279034351,10.94431863,132,130,12.6,17.7,4.06939799,5.531726674,46,85,-8.904,42.1969,0.176091259055681,0.778223626766096,"Weight","","Island rule",0.565661279296875,0.0156771224975586,14.2124996185303,331.878234863281,1534.16003417969,0.629724462890625,0.00998212585449219,13.9685983657837,376.99951171875,1613.96643066406,0.678029833984375,0.00856400604248047,13.0822315216064,403.249176025391,1594.02697753906,0.565661279296875,-1.77787888123048,14.2124996185303,2.52097877157485,3.18587066491676,NA,27.9595419839695,15.9091603053435,10.5632801274944,5.61038117951557
"Wang et al. 2009","China (Zhejiang province)","Fodu","Amphibians","Anura","Ranidae","Pelophylax nigromaculatus","Rana nigromaculata","Rana nigromaculata","","Female","SVL",73.45,80.43,2.3,2.48,24,24,NA,73.45,NA,2.3,NA,24,NA,80.43,NA,2.48,NA,24,122.018,29.736,0.845098040014257,0.845160077651946,"10^-4.862×SVL^3.492 (Ranidae); Santini et al. 2017","","Island rule",0.391640258789063,0.00814578247070312,16.556058883667,788.944885253906,1260.34997558594,0.303612573242187,0.0203075988769531,16.5787372589111,778.68505859375,1264.79736328125,0.29361328125,0.0197222213745117,16.6481304168701,775.973449707031,1258.2353515625,0.391640258789063,-2.03877913237768,16.556058883667,2.89704666497602,3.1004911573089,NA,73.45,80.43,2.3,2.48
"Wang et al. 2009","China (Zhejiang province)","Liuheng","Amphibians","Anura","Ranidae","Pelophylax nigromaculatus","Rana nigromaculata","Rana nigromaculata","","Female","SVL",73.45,71.1,2.3,2.59,24,21,NA,73.45,NA,2.3,NA,24,NA,71.1,NA,2.59,NA,21,122.147,29.708,1.96731391828708,0.845160077651946,"10^-4.862×SVL^3.492 (Ranidae); Santini et al. 2017","","Island rule",0.35606962890625,0.0120149726867676,16.6010551452637,782.163635253906,1263.5,0.303612573242187,0.0203075988769531,16.5787372589111,778.68505859375,1264.79736328125,0.29361328125,0.0197222213745117,16.6481304168701,775.973449707031,1258.2353515625,0.35606962890625,-1.88555673896455,16.6010551452637,2.89329762064745,3.10157524625593,NA,73.45,71.1,2.3,2.59
"Wang et al. 2009","China (Zhejiang province)","Mayi","Amphibians","Anura","Ranidae","Pelophylax nigromaculatus","Rana nigromaculata","Rana nigromaculata","","Female","SVL",73.45,89.05,2.3,2,24,18,NA,73.45,NA,2.3,NA,24,NA,89.05,NA,2,NA,18,122.258,29.871,0.845098040014257,0.845160077651946,"10^-4.862×SVL^3.492 (Ranidae); Santini et al. 2017","","Island rule",0.361122216796875,0.01168876953125,16.5482521057129,777.36572265625,1262.5,0.303612573242187,0.0203075988769531,16.5787372589111,778.68505859375,1264.79736328125,0.29361328125,0.0197222213745117,16.6481304168701,775.973449707031,1258.2353515625,0.361122216796875,-1.89658049072625,16.5482521057129,2.89062538683623,3.1012313867907,NA,73.45,89.05,2.3,2
"Wang et al. 2009","China (Zhejiang province)","Meishan","Amphibians","Anura","Ranidae","Pelophylax nigromaculatus","Rana nigromaculata","Rana nigromaculata","","Female","SVL",73.45,84.22,2.3,2.31,24,10,NA,73.45,NA,2.3,NA,24,NA,84.22,NA,2.31,NA,10,121.99,29.792,1.33965015761368,-0.300162274132754,"10^-4.862×SVL^3.492 (Ranidae); Santini et al. 2017","","Island rule",0.375350048828125,0.0101668869018555,16.4115219116211,799.18701171875,1275.5,0.47588681640625,0.0130396835327148,16.5093727111816,812.014343261719,1260.17443847656,0.559024267578125,0.0118900650024414,15.9819145202637,810.907043457031,1302.61145019531,0.375350048828125,-1.95206788237081,16.4115219116211,2.902648417179,3.10568046294581,NA,73.45,84.22,2.3,2.31
"Wang et al. 2009","China (Zhejiang province)","Taohua","Amphibians","Anura","Ranidae","Pelophylax nigromaculatus","Rana nigromaculata","Rana nigromaculata","","Female","SVL",73.45,85.02,2.3,2.38,24,19,NA,73.45,NA,2.3,NA,24,NA,85.02,NA,2.38,NA,19,122.232,29.818,1.61278385671974,0.944532020991981,"10^-4.862×SVL^3.492 (Ranidae); Santini et al. 2017","","Island rule",0.361122216796875,0.01168876953125,16.5482521057129,777.36572265625,1262.5,0.303612573242187,0.0203075988769531,16.5787372589111,778.68505859375,1264.79736328125,0.29361328125,0.0197222213745117,16.6481304168701,775.973449707031,1258.2353515625,0.361122216796875,-1.89658049072625,16.5482521057129,2.89062538683623,3.1012313867907,NA,73.45,85.02,2.3,2.38
