Class,Order,Family,Species,Measure,Allometry,BM_units,a,b,N,R2,Type,log,Note,Source,Note,") When the purpose of the study is not to estimate the parameters of a functional relationship, but simply to forecast or predict values of y for given x’s, use OLS in all cases. OLS is the only method that minimizes the squared residuals in y. The OLS regression line itself is meaningless. Do not use the standard error and confidence bands, however, unless x is known to be free of error (Sokal and Rohlf, 1995, p. 545, Table 14.3); this warning applies in particular to the 95% confidence intervals computed for OLS by this program"
Mammals,Cetartiodactyla,All,All,CBL,"log10(mass,g) = -2.821 +3.1257*log10(Skull mm), r2 = 0.946, Fitch 2000",g,-2.821,3.1257,25,0.946,OLS,log10,,"Fitch, W. T. Skull dimensions in relation to body size in nonhuman mammals: the causal bases for acoustic allometry. Zoology-Analysis of Complex Systems 103, 40-58 (2000).",,
Mammals,Chiroptera,All,All,CBL,"log10(mass,g) = -1.7139  +2.2268*log10(CBL mm), r2 = 0.746 own model, Chiroptera",g,-1.7139,2.2668,41,0.7803,OLS,log10,,Several. Own model,,
Mammals,Eulipotyphla,All,All,CBL,"log10(mass,g) = -4.2577  +4.0475*log10(CBL mm), r2 = 0.9895, own model, Eulipotyphla",g,-4.2577,4.0475,18,0.9895,OLS,log10,,Several. Own model,,
Mammals,Lagomorpha,Leporidae,Lepus europaeus,CBL,"Lepus europaeus: (BWa) = -4820 + 94.73 (CBL, mm)",g,-4820,94.73,33,0.33,OLS,no,,"Demirba, Y., & Erat, S. (2015). Body Weight Estimation from Different Morphometric Measurements in Anatolian Hares, Lepus europaeus. Pakistan J. Zool, 47(1), 217-222.",,
Mammals,Primata,All,All,CBL,"Primates: log10(BM,g) = -2.4628 +3.071*log10(Skull, mm) (Plavcan 2008)",g,-2.4628,3.0714,90,0.9161,OLS,log10,,"Plavcan, J. M. & Ruff, C. B. Canine size, shape, and bending strength in primates and carnivores. American Journal of Physical Anthropology: The Official Publication of the American Association of Physical Anthropologists 136, 65-84 (2008).",,
Mammals,Rodentia,All,All,CBL,"Rodentia: log10(BM,kg) = -6.678 +3.608*log10(CBL, mm)",kg,-6.678,3.608,19,0.9158,OLS,log10,,"Reynolds, P. How big is a giant? The importance of method in estimating body size of extinct mammals. Journal of Mammalogy 83, 321-332 (2002).",,
Mammals,Rodentia,All,All,CBL,"Rodentia: log10(BM,g) =-3.753 +3.7181*log10(CBL, mm)",g,-3.753,3.7181,28,0.9908,OLS,log10,,Several. Own model,,
Mammals,Rodentia,Castoridae,All,CBL,"Castoridae: log10(BM, kg) = -5.245 +3.116*log10(CBL, mm)",kg,-5.245,3.116,76,0.952,OLS,log10,,"Reynolds, P. How big is a giant? The importance of method in estimating body size of extinct mammals. Journal of Mammalogy 83, 321-332 (2002).",,
Mammals,All,All,All,Length,"All: log10(BM,g) = -4.1505 +2.841*log10(length, mm) (r2 = 0.9769)",g,-4.1505,2.841,3542,0.9769,OLS,log10,,"Jones, K. E. et al. PanTHERIA: a species?level database of life history, ecology, and geography of extant and recently extinct mammals. Ecology 90, 2648-2648 (2009).",,
Mammals,Chiroptera,All,All,Length,"Chiroptera (n= 350 datapoints, Novak 1999).  log10(BM,g) = - 3.1442 + 2.4085*log10(length, mm) (R² = 0.8801). ",g,-3.1442,2.4085,350,0.8801,OLS,log10,,"Nowak, R. M. & Walker, E. P. Walker's Mammals of the World. Vol. 1 (JHU Press, 1999).",,
Mammals,Rodentia,All,All,Length,"Rodentia: log10(BM,g) = -4.1004 +2.821*log10(length, mm) (r2 = 0.9352)",g,-4.1004,2.821,210,0.9352,OLS,log10,,"Nowak, R. M. & Walker, E. P. Walker's Mammals of the World. Vol. 1 (JHU Press, 1999).",,
